iter	Passed	Remaining
0	0	46
1	0	42
2	1	38
3	1	37
4	1	36
5	2	39
6	2	38
7	3	37
8	3	36
9	4	36
10	4	35
11	4	34
12	5	34
13	5	33
14	5	33
15	6	32
16	6	32
17	7	31
18	7	31
19	7	31
20	8	31
21	9	33
22	9	33
23	10	32
24	10	32
25	11	31
26	11	30
27	11	30
28	12	29
29	12	29
30	12	28
31	13	28
32	13	27
33	14	27
34	14	26
35	14	26
36	15	26
37	15	25
38	16	25
39	16	24
40	17	24
41	17	24
42	17	23
43	18	23
44	18	22
45	19	22
46	19	22
47	19	21
48	20	21
49	20	20
50	21	20
51	21	20
52	22	19
53	22	19
54	23	18
55	23	18
56	23	17
57	24	17
58	24	17
59	25	16
60	25	16
61	26	16
62	26	15
63	26	15
64	27	14
65	27	14
66	28	13
67	28	13
68	29	13
69	29	12
70	30	12
71	30	11
72	31	11
73	31	11
74	31	10
75	32	10
76	32	9
77	33	9
78	33	8
79	33	8
80	34	8
81	35	7
82	35	7
83	35	6
84	36	6
85	36	5
86	37	5
87	37	5
88	38	4
89	38	4
90	38	3
91	39	3
92	39	2
93	40	2
94	40	2
95	41	1
96	41	1
97	41	0
98	42	0
99	42	0
