검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
판교 고깃집,우설화 판교점,"육류,고기",3.7,63,159,경기 성남시 분당구 판교로 185 신화푸드빌리지 3층,판교동 498,매일 11:30 ~ 22:00,0317029407,https://place.map.kakao.com/26874704
판교 고깃집,신도세기 판교역점,"육류,고기",3.9,129,143,경기 성남시 분당구 판교역로 152 알파돔타워 2층 207호,백현동 537,월~토 11:30 ~ 21:30 · 휴게시간 월~토 14:30 ~ 17:00,0316227188,https://place.map.kakao.com/976327217
판교 고깃집,양우정 판교점,"육류,고기",4.6,74,35,경기 성남시 분당구 대왕판교로606번길 10 상가동 라스트리트 1동 1층 112~114호,백현동 531,매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,0317069252,https://place.map.kakao.com/2103661220
판교 고깃집,천지연 판교점,갈비,3.0,36,52,경기 성남시 분당구 판교로 185 신화푸드빌리지 1층,판교동 498,매일 11:30 ~ 22:00,0317029506,https://place.map.kakao.com/26782125
판교 고깃집,진1926 판교점,"육류,고기",4.1,17,25,경기 성남시 분당구 판교역로192번길 22 효성 해링턴 타워 1층 101호,삼평동 659,월~토 17:00 ~ 23:00,0317070292,https://place.map.kakao.com/106771056
판교 고깃집,숙성도 판교점,삼겹살,3.7,60,398,경기 성남시 분당구 판교역로 136 힐스테이트판교역판매시설 1층 1042~1047호,백현동 540,매일 11:30 ~ 22:30 · 휴게시간 매일 15:30 ~ 16:30,03180239233,https://place.map.kakao.com/556505866
판교 고깃집,참다운정육식당 판교본점,"육류,고기",4.2,97,"1,079",경기 성남시 분당구 판교로 182-7 지하1층 B01호,판교동 511-6,매일 11:00 ~ 22:00,03180168880,https://place.map.kakao.com/1947089292
판교 고깃집,화포식당 판교점,"육류,고기",4.1,31,423,경기 성남시 분당구 대왕판교로 660 유스페이스1 2층 240호,삼평동 670,월~금 11:30 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00,0317242929,https://place.map.kakao.com/1782830414
판교 고깃집,얼룩도야지,"육류,고기",,(30),183,경기 성남시 분당구 대왕판교로606번길 45 2층 205호,삼평동 653,매일 17:00 ~ 23:00,03180172840,https://place.map.kakao.com/1048838366
판교 고깃집,푸에르코 판교점,"육류,고기",2.9,51,125,경기 성남시 분당구 분당내곡로 117 그레이츠 판교 2층,백현동 535,매일 11:30 ~ 22:00 · 휴게시간 매일 14:30 ~ 17:00,0316227501,https://place.map.kakao.com/1430452993
판교 고깃집,황제갈비 판교점,갈비,4.2,22,26,"경기 성남시 분당구 대왕판교로 670 유스페이스2A동 1층 104, 105호",삼평동 682,월~금 10:00 ~ 22:00,0317398688,https://place.map.kakao.com/1980848252
판교 고깃집,이야기둘,"육류,고기",3.8,22,127,경기 성남시 분당구 판교로319번길 13 디테라스오피스텔 1층 113호,삼평동 691,매일 12:00 ~ 22:00,0316078092,https://place.map.kakao.com/26466601
판교 고깃집,차고145,"육류,고기",3.8,20,141,경기 성남시 분당구 판교역로 145 라스트리트 알파리움2동 1층 108~110호,백현동 530,월~금 11:00 ~ 22:00 · 휴게시간 월~금 14:00 ~ 17:00,0317811450,https://place.map.kakao.com/1814498690
판교 고깃집,송도갈비 판교브릿지타워점,갈비,3.9,32,46,경기 성남시 분당구 판교로227번길 6 브릿지타워,삼평동 617,매일 11:30 ~ 22:00,0317020911,https://place.map.kakao.com/1871942551
판교 고깃집,돈블랑 판교점,"육류,고기",3.8,89,66,경기 성남시 분당구 대왕판교로606번길 10 알파리움1단지아파트 알파리움타워 1동 1층,백현동 531,매일 11:00 ~ 22:00,0317037722,https://place.map.kakao.com/1763923315
판교 고깃집,머내돌삼겹살,삼겹살,4.6,27,27,경기 성남시 분당구 동판교로52번길 17-14 1층,백현동 591-6,"월,수,목,금,토,일 10:00 ~ 22:00 · 휴게시간 월,수,목,금 15:00 ~ 16:00",03180176550,https://place.map.kakao.com/12544888
판교 고깃집,통통곱창,"곱창,막창",4.3,40,67,경기 성남시 분당구 대왕판교로606번길 45 1층 102호,삼평동 653,월~토 10:00 ~ 24:00,03180176660,https://place.map.kakao.com/1459548375
판교 고깃집,돼지맨숀,"육류,고기",3.7,43,78,"경기 성남시 분당구 동판교로177번길 25 판교아브뉴프랑 1층 144,145호",삼평동 740,월~금 17:00 ~ 22:30,0317064775,https://place.map.kakao.com/1284688158
판교 고깃집,쉐누하누,"육류,고기",4.2,26,95,경기 성남시 분당구 판교역로 145 알파리움타워 2동 라스트리트 2층 201~203호,백현동 530,월~금 11:00 ~ 21:40 · 휴게시간 월~금 15:00 ~ 17:00,0317035530,https://place.map.kakao.com/1174471186
판교 고깃집,양재정육식당,"육류,고기",3.6,32,33,경기 성남시 분당구 분당내곡로 151 삼도타워 1층 102호,삼평동 656,월~토 11:30 ~ 24:00,0317085705,https://place.map.kakao.com/369744461
판교 고깃집,우테이블,"육류,고기",4.1,74,97,경기 성남시 분당구 동판교로177번길 25 판교호반써밋플레이스 1층 105호,삼평동 740,매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,0317034775,https://place.map.kakao.com/968456940
판교 고깃집,토속상황삼계탕,삼계탕,4.0,33,28,경기 성남시 분당구 대왕판교로 670 유스페이스2 2층 225호,삼평동 682,월~금 10:40 ~ 21:00 · 휴게시간 월~금 15:00 ~ 17:00,0316286619,https://place.map.kakao.com/18561415
판교 고깃집,양바위 본점,"곱창,막창",,(30),84,"경기 성남시 분당구 동판교로177번길 25 판교호반써밋플레이스 아브뉴프랑 1층 110,111호",삼평동 740,매일 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00,0317069288,https://place.map.kakao.com/1465537638
판교 고깃집,홍대칼국수와족발 판교역점,"족발,보쌈",3.3,21,14,경기 성남시 분당구 대왕판교로606번길 45 1층,삼평동 653,화~금 11:30 ~ 02:00 · 휴게시간 월~금 13:30 ~ 17:00,0317081779,https://place.map.kakao.com/25531595
판교 고깃집,고반식당 판교아브뉴프랑점,"육류,고기",,(30),380,경기 성남시 분당구 동판교로177번길 25 2층 205~207호,삼평동 740,매일 11:00 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00,0317075861,https://place.map.kakao.com/1892006748
판교 고깃집,송추가마골 인어반 판교점,갈비,2.6,53,44,경기 성남시 분당구 판교역로 145 알파리움2단지 라스트리트 2동 2층,백현동 530,매일 11:15 ~ 21:45,0317058503,https://place.map.kakao.com/1452199841
판교 고깃집,일편닭심,닭요리,4.2,56,75,경기 성남시 분당구 판교역로192번길 22 효성해링턴타워 110호,삼평동 659,매일 17:00 ~ 01:30,0316021847,https://place.map.kakao.com/96593433
판교 고깃집,금돈가,"육류,고기",3.3,19,68,경기 성남시 분당구 판교공원로1길 71 1층,판교동 602,월~토 11:30 ~ 23:00 · 휴게시간 월~토 15:00 ~ 17:00,0317096599,https://place.map.kakao.com/1414871962
판교 고깃집,우몽 판교본점,"육류,고기",4.4,50,734,경기 성남시 분당구 판교역로192번길 12 판교미래에셋타워 2층 204호,삼평동 664,매일 11:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,03180610712,https://place.map.kakao.com/1757905811
판교 고깃집,우대포판교,"육류,고기",4.6,8,778,경기 성남시 분당구 운중로 141,운중동 967,매일 11:30 ~ 22:00 · 휴게시간 월~금 14:30 ~ 16:30,,https://place.map.kakao.com/1706812298
판교 고깃집,판교인생곱창,"곱창,막창",3.5,18,91,경기 성남시 분당구 판교역로192번길 16 판교타워,삼평동 662,화~금 15:00 ~ 22:50,0317050731,https://place.map.kakao.com/1560550784
판교 고깃집,창고43 판교점,"육류,고기",3.3,39,76,경기 성남시 분당구 분당내곡로 131 2층,백현동 534,월~금 14:00 ~ 17:30,0316017543,https://place.map.kakao.com/966625660
판교 고깃집,우몽블랙 판교점,"육류,고기",4.6,32,533,경기 성남시 분당구 판교역로 145 알파리움타워 2동 1층 111~112호,백현동 530,매일 11:00 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,0317020218,https://place.map.kakao.com/498464972
판교 고깃집,운중본가 장수촌,닭요리,3.5,12,111,경기 성남시 분당구 산운로32번길 14 1층,운중동 883-4,매일 11:00 ~ 21:00,0317059973,https://place.map.kakao.com/83970940
판교 고깃집,진짜돼지 판교본점,"육류,고기",3.6,31,44,경기 성남시 분당구 분당내곡로 159 판교역KCC웰츠타워 A동 1층 120호,삼평동 658,월~금 11:00 ~ 24:00 · 휴게시간 월~금 14:30 ~ 17:00,03180179547,https://place.map.kakao.com/26797235
판교 고깃집,제주가,"육류,고기",4.0,8,8,경기 성남시 분당구 동판교로52번길 5 1층,백현동 604,매일 11:00 ~ 23:00 · 휴게시간 매일 15:00 ~ 16:30,03180169292,https://place.map.kakao.com/145905216
판교 고깃집,일도씨닭갈비 판교점,닭요리,,(30),123,경기 성남시 분당구 분당내곡로 117 그레이츠판교 지하1층,백현동 535,매일 10:00 ~ 22:00,0316227509,https://place.map.kakao.com/1405700142
판교 고깃집,암돼지와꽃등심,"육류,고기",3.6,10,187,경기 성남시 분당구 운중로166번길 4-14 1층,운중동 1019-2,월~토 11:00 ~ 22:00 · 휴게시간 월~토 16:00 ~ 17:00,03180163566,https://place.map.kakao.com/26081200
판교 고깃집,이가네양갈비 판교직영점,"육류,고기",4.4,34,"2,119",경기 성남시 분당구 판교역로 145 알파리움2단지 타워2동 1층 113~115호,백현동 530,월~토 11:00 ~ 10:45,0317019998,https://place.map.kakao.com/1985420126
판교 고깃집,유엔가든,"육류,고기",3.9,12,101,경기 성남시 분당구 동판교로177번길 25 1층 129~131호,삼평동 740,월~금 11:30 ~ 22:00 · 휴게시간 월~금 14:30 ~ 17:00,0317089929,https://place.map.kakao.com/1751754378
판교 고깃집,초심한우,"육류,고기",4.5,10,25,경기 성남시 분당구 운중로146번길 15-6 1층,운중동 1021,월~금 11:30 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00,,https://place.map.kakao.com/361151726
판교 고깃집,램가 본점,"육류,고기",4.5,22,225,경기 성남시 분당구 판교공원로1길 63 지하1층,판교동 602-4,월~금 17:00 ~ 22:00,0317035043,https://place.map.kakao.com/1352135383
판교 고깃집,항아리보쌈 서판교점,"족발,보쌈",4.3,19,18,경기 성남시 분당구 운중로125번길 14-16,운중동 975-3,매일 11:30 ~ 22:00 · 휴게시간 매일 15:30 ~ 16:40,03180173377,https://place.map.kakao.com/21301904
