검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
판교 다이닝바,구우트,와인바,4.6,5,135,"경기 성남시 분당구 대왕판교로 670 유스페이스2 A동 지하1층 B109,110호",삼평동 682,월~토 11:30 ~ 22:00 · 휴게시간 월~토 14:00 ~ 17:00,50713970922.0,https://place.map.kakao.com/663836122
판교 다이닝바,오늘와인한잔 판교역점,와인바,2.9,16,9,"경기 성남시 분당구 대왕판교로606번길 45 판교역푸르지오시티오피스텔 1층 103,104호",삼평동 653,매일 17:00 ~ 02:00,,https://place.map.kakao.com/140099846
판교 다이닝바,콘노이,와인바,4.0,8,20,경기 성남시 분당구 운중로138번길 24-1 1층,운중동 931-3,매일 17:00 ~ 24:00,50713260064.0,https://place.map.kakao.com/199465668
판교 다이닝바,물뭍,와인바,4.7,14,7,경기 성남시 분당구 판교공원로3길 36 상가 1층 101호,판교동 617-8,수~토 16:00 ~ 24:00,7086571264.0,https://place.map.kakao.com/1171090129
판교 다이닝바,퍼프시가바,와인바,0.0,0,0,경기 성남시 분당구 판교로25번길 8-4 1층,운중동 1033-5,매일 13:00 ~ 01:10,1097709311.0,https://place.map.kakao.com/1364923806
판교 다이닝바,비눔,와인바,5.0,7,143,경기 성남시 분당구 대왕판교로 660 유스페이스1 지하1층 B106호,삼평동 670,월~금 11:00 ~ 24:00 · 휴게시간 월~금 14:00 ~ 17:00,50714356693.0,https://place.map.kakao.com/224825790
판교 다이닝바,풀문,와인바,5.0,1,0,경기 성남시 분당구 판교공원로1길 50 1층 101호,판교동 605-8,영업시간 월~금 19:30 ~ 01:30,317072056.0,https://place.map.kakao.com/1710211602
판교 다이닝바,나함,와인바,4.6,7,0,경기 성남시 분당구 서판교로44번길 3-5 1층,판교동 565-10,영업시간 화~토 19:00 ~ 24:00,,https://place.map.kakao.com/1989511188
판교 다이닝바,오아시스터즈,와인바,0.0,0,5,경기 성남시 분당구 판교역로 136 힐스테이트 판교역 상가1동 1036호,백현동 540,월~수 08:00 ~ 20:00,3180397230.0,https://place.map.kakao.com/2085078286
판교 다이닝바,와인G,와인바,3.3,3,0,경기 성남시 분당구 판교역로192번길 12 2층,삼평동 664,,,https://place.map.kakao.com/849318705
판교 다이닝바,와인팩토리,와인바,0.0,0,0,경기 성남시 분당구 판교역로192번길 14-2,삼평동 660,,,https://place.map.kakao.com/1361743830
판교 다이닝바,루프,와인바,3.0,2,0,경기 성남시 분당구 동판교로52번길 25-18 1층,백현동 585-3,매일 17:00 ~ 24:00,317079863.0,https://place.map.kakao.com/1320789578
판교 다이닝바,와인샵 현대백화점 판교점,와인바,0.0,0,0,경기 성남시 분당구 판교역로146번길 20 지하1층,백현동 541,,3151702078.0,https://place.map.kakao.com/254289368
판교 다이닝바,설탕바,와인바,0.0,0,0,경기 성남시 분당구 대왕판교로 660,삼평동 670,,,https://place.map.kakao.com/127133755
판교 다이닝바,레끌레 드 크리스탈 판교점,와인바,0.0,0,0,경기 성남시 분당구 서판교로58번길 4-2,판교동 562-5,,,https://place.map.kakao.com/2125407404
판교 다이닝바,트웬티포세븐,와인바,0.0,0,0,경기 성남시 분당구 동판교로52번길 26,백현동 595-3,월~금 17:00 ~ 03:00,,https://place.map.kakao.com/17127040
판교 다이닝바,바에이팀,와인바,0.0,0,0,경기 성남시 분당구 대왕판교로 670,삼평동 682,,,https://place.map.kakao.com/25492777
판교 다이닝바,삼평동솜씨방,와인바,0.0,0,0,경기 성남시 분당구 대왕판교로 670 유스페이스2동 3층 310호,삼평동 682,,,https://place.map.kakao.com/476666100
판교 다이닝바,부에노부스,와인바,4.0,9,40,경기 성남시 분당구 장미로 42 야탑리더스 1층 116호,야탑동 342-1,영업시간 매일 18:00 ~ 24:00,7041893425.0,https://place.map.kakao.com/1393387367
판교 다이닝바,어바웃풍미,와인바,4.6,13,68,경기 성남시 분당구 서현로210번길 2 성지하이츠텔 209호,서현동 245-3,월~토 17:00 ~ 01:00,317078771.0,https://place.map.kakao.com/1164033276
판교 다이닝바,비율,와인바,4.5,10,59,경기 성남시 분당구 서현로210번길 2 성지하이츠텔 2층 208호,서현동 245-3,매일 17:00 ~ 23:00,1033003250.0,https://place.map.kakao.com/449775659
판교 다이닝바,오늘와인한잔 서현에스점,와인바,5.0,4,10,경기 성남시 분당구 중앙공원로39번길 49 서현지엔느 1층 101-2호,서현동 88,매일 16:00 ~ 24:00,,https://place.map.kakao.com/439263522
판교 다이닝바,로디드,와인바,5.0,1,0,경기 성남시 분당구 느티로69번길 18 1층 103호,정자동 68-5,"월,화,수요일",50371506543.0,https://place.map.kakao.com/129444809
판교 다이닝바,수내와인,와인바,5.0,1,0,경기 성남시 분당구 내정로165번길 50 크리스탈빌딩 101호,수내동 33-1,,,https://place.map.kakao.com/1555762259
판교 다이닝바,우즈(WOODZ),와인바,5.0,2,0,경기 성남시 분당구 정자일로 197,정자동 16-2,영업시간 월~토 18:00 ~ 02:00,,https://place.map.kakao.com/184471817
판교 다이닝바,아르노,와인바,0.0,0,0,경기 성남시 분당구 성남대로331번길 13 백궁프라자1차 3층 303호,정자동 159-1,영업시간 월~토 19:30 ~ 03:00,317188858.0,https://place.map.kakao.com/102935151
판교 다이닝바,카사아지오 분당,와인바,0.0,0,0,경기 성남시 분당구 느티로51번길 4-12,정자동 86-7,,,https://place.map.kakao.com/15798302
