검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
판교 브런치카페,수하담,디저트카페,3.5,79,108,경기 성남시 분당구 판교로 190-8 1-2층,판교동 511-5,매일 09:00 ~ 19:00,03180166170,https://place.map.kakao.com/861775066
판교 브런치카페,오픈커피 판교본점,카페,3.8,88,170,"경기 성남시 분당구 판교역로14번길 15 성음아트센터 1-2층 105~107,201호",백현동 577,월~토 10:00 ~ 22:00,,https://place.map.kakao.com/1888786090
판교 브런치카페,리스카페,양식,4.5,140,776,경기 성남시 분당구 판교역로2번길 29 1층,백현동 561-3,매일 15:00 ~ 17:00,01066546300,https://place.map.kakao.com/91157184
판교 브런치카페,아임홈 분당백현동본점,카페,3.6,37,27,경기 성남시 분당구 판교역로10번길 3-1 1층,백현동 578-8,수요일,07044180415,https://place.map.kakao.com/17150937
판교 브런치카페,무궁화파이브,디저트카페,4.1,92,795,경기 성남시 분당구 동판교로52번길 9-9 1층,백현동 603-2,매일 09:00 ~ 17:00,0317053367,https://place.map.kakao.com/725464277
판교 브런치카페,잼앤브레드,"제과,베이커리",4.5,62,110,경기 성남시 분당구 판교공원로1길 14 1층,판교동 611-2,영업시간 화~토 08:00 ~ 15:00,0317076113,https://place.map.kakao.com/27587982
판교 브런치카페,아르틴,양식,3.4,23,167,경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 1층 107호,삼평동 741,화~일 10:00 ~ 22:00,01089962243,https://place.map.kakao.com/695897208
판교 브런치카페,카페마마스 판교점,카페,,(30),147,경기 성남시 분당구 분당내곡로 117 그레이츠 판교 1층,백현동 535,월~금 08:00 ~ 21:30,0316227545,https://place.map.kakao.com/590977772
판교 브런치카페,카페 악토버,카페,4.6,11,139,경기 성남시 분당구 동판교로52번길 9 1층,백현동 605,"월,화,수,금,토,일 11:00 ~ 17:00",,https://place.map.kakao.com/1939739739
판교 브런치카페,비앙또아,양식,3.4,60,287,경기 성남시 분당구 동판교로177번길 25 판교아브뉴프랑 1층 127호,삼평동 740,매일 10:00 ~ 21:00,0317071088,https://place.map.kakao.com/730524741
판교 브런치카페,에리아,카페,4.3,34,38,경기 성남시 분당구 판교역로18번길 12 지하1층,백현동 577-3,매일 11:00 ~ 22:30,0317089927,https://place.map.kakao.com/725217139
판교 브런치카페,아미코,카페,3.4,16,233,경기 성남시 분당구 운중로138번길 28-3 1층,운중동 930-3,화~일 10:00 ~ 22:00,0317047999,https://place.map.kakao.com/14819295
판교 브런치카페,메리가든 판교,양식,,(30),235,경기 성남시 분당구 판교역로 10 1층,백현동 581-7,매일 11:00 ~ 21:00,0317815090,https://place.map.kakao.com/1097499021
판교 브런치카페,카페소시올로지,양식,4.6,26,101,경기 성남시 분당구 판교역로 145 라스트리트 1층,백현동 530,월~금 10:00 ~ 22:00 · 휴게시간 월~금 17:00 ~ 18:00,0317083737,https://place.map.kakao.com/1495624881
판교 브런치카페,쿠잉,카페,3.9,19,21,경기 성남시 분당구 판교역로10번길 12-7 1층,백현동 580-3,매일 10:00 ~ 23:00,0317067750,https://place.map.kakao.com/734541620
판교 브런치카페,아방베이커리 판교카카오점,"제과,베이커리",3.8,37,207,경기 성남시 분당구 판교역로 166 카카오판교아지트 1층 3호,백현동 532,월~금 15:00 ~ 17:00,0316017220,https://place.map.kakao.com/1173864608
판교 브런치카페,에잇이얼스,디저트카페,4.7,22,152,경기 성남시 분당구 판교역로2번길 12 1층,백현동 583-1,화~일 09:00 ~ 17:00,0317818254,https://place.map.kakao.com/1487453401
판교 브런치카페,프론트 판교,카페,,(30),115,경기 성남시 분당구 운중로138번길 24-1 1층 101호,운중동 931-3,매일 08:00 ~ 17:00,01079354758,https://place.map.kakao.com/1433551253
판교 브런치카페,플랩잭팬트리 본점,양식,,(30),8,경기 성남시 분당구 서판교로44번길 17-11 1층,판교동 567-2,"월,수,목,금 10:00 ~ 21:00",03180160168,https://place.map.kakao.com/1813415551
판교 브런치카페,올덴그레이,양식,,(30),132,경기 성남시 분당구 동판교로52번길 17-5 1층,백현동 592-3,매일 15:00 ~ 17:00,07043889689,https://place.map.kakao.com/1198712885
판교 브런치카페,미더스,카페,4.4,16,301,경기 성남시 분당구 동판교로52번길 9-6 1층,백현동 605-3,월~금 08:00 ~ 19:00,,https://place.map.kakao.com/1171245130
판교 브런치카페,소담시루,떡카페,4.0,3,1,경기 성남시 분당구 판교공원로1길 10 1층,판교동 611,"월,수,목,금,토,일 08:00 ~ 17:00",0317077373,https://place.map.kakao.com/18430815
판교 브런치카페,위스크 판교점,카페,4.7,3,28,경기 성남시 분당구 판교공원로3길 36 102호,판교동 617-8,수요일,050371500404,https://place.map.kakao.com/1080046086
판교 브런치카페,스윗,카페,3.7,7,58,"경기 성남시 분당구 운중로146번길 11 지하1층,1층",운중동 1020-4,화~금 09:00 ~ 17:00,0317079949,https://place.map.kakao.com/672741488
판교 브런치카페,멀멀 판교,양식,5.0,1,28,경기 성남시 분당구 판교역로2번길 6 태훈빌딩 1층,백현동 583-4,매일 10:00 ~ 18:00,07088220313,https://place.map.kakao.com/2106449451
판교 브런치카페,무튼,카페,3.2,10,205,경기 성남시 분당구 동판교로52번길 13-10 1층,백현동 593-4,월~금 10:30 ~ 20:00,,https://place.map.kakao.com/1515794946
판교 브런치카페,아프레,양식,,(30),73,경기 성남시 분당구 판교로25번길 18-4 1층,운중동 1030-5,수요일,050371504636,https://place.map.kakao.com/1753282821
판교 브런치카페,카페두레브,카페,4.2,5,8,경기 성남시 분당구 판교로255번길 9-22 판교우림 WCITY 1층 141호,삼평동 618,월~금 07:00 ~ 20:00,,https://place.map.kakao.com/1940078288
판교 브런치카페,클로이샌드위치,샌드위치,4.9,17,32,경기 성남시 분당구 판교공원로3길 4 1층 102호,판교동 613-3,"월,화,수,목,토,일 09:00 ~ 17:30",050713901549,https://place.map.kakao.com/618096683
판교 브런치카페,브리즈 카페,카페,0.0,0,18,경기 성남시 분당구 운중로138번길 31,운중동 929-3,화~일 09:00 ~ 18:00,,https://place.map.kakao.com/61468723
판교 브런치카페,원즈오운 판교,양식,5.0,8,94,경기 성남시 분당구 동판교로52번길 9 1층,백현동 605,월~토 10:30 ~ 21:00,01048593190,https://place.map.kakao.com/1901072708
판교 브런치카페,일로이 키친,양식,3.2,6,73,경기 성남시 분당구 판교공원로3길 10 1층,판교동 614-9,"화,수 09:00 ~ 18:00",0317041124,https://place.map.kakao.com/1992463433
판교 브런치카페,사라베스 현대백화점판교점,"제과,베이커리",2.6,18,17,경기 성남시 분당구 판교역로146번길 20 2층,백현동 541,월~목 10:30 ~ 20:00,03151701234,https://place.map.kakao.com/26945152
판교 브런치카페,히글리,디저트카페,4.9,11,79,경기 성남시 분당구 판교로227번길 6 브릿지타워 지하1층 B101호,삼평동 617,월~금 08:30 ~ 20:00,,https://place.map.kakao.com/1705971541
판교 브런치카페,팜플래닛 판교점,양식,5.0,3,16,경기 성남시 분당구 분당내곡로 131 테크원 3층 302호,백현동 534,월~금 08:00 ~ 20:00,0316017546,https://place.map.kakao.com/1458810127
판교 브런치카페,모닝페이지,카페,5.0,2,10,경기 성남시 분당구 판교공원로1길 12 1층 102호,판교동 611-1,월~금 09:00 ~ 17:00,,https://place.map.kakao.com/1016531956
판교 브런치카페,엘핀,커피전문점,5.0,3,8,경기 성남시 분당구 판교로319번길 14 성남판교경기행복주택 근린생활시설 1층 8호,삼평동 700,월~금 08:00 ~ 22:30,050371510285,https://place.map.kakao.com/1031956922
판교 브런치카페,데니쉬미드,카페,0.0,0,1,경기 성남시 분당구 판교공원로1길 22-1,판교동 607,,0317069892,https://place.map.kakao.com/1003856582
판교 브런치카페,카페두레브,디저트카페,3.2,27,56,"경기 성남시 분당구 판교백현로 57 1,2층",백현동 500-15,월~토 08:00 ~ 22:00,0317051711,https://place.map.kakao.com/537017155
판교 브런치카페,몽델리부티크,이탈리안,3.6,11,222,경기 성남시 분당구 백현로 26 더블트리 바이힐튼호텔 판교 지하1층 2호,정자동 3-2,매일 10:00 ~ 22:00,,https://place.map.kakao.com/1728977187
판교 브런치카페,호텔더일마,의류판매,3.4,73,723,경기 성남시 수정구 사송로77번길 35 1층,사송동 482-2,2025년 2월 3일 ~ 2025년 3월 31일 휴무,01021905867,https://place.map.kakao.com/591798448
