검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
,붓처스컷 아브뉴프랑 판교점,"스테이크,립",3.8,90,241,경기 성남시 분당구 동판교로177번길 25 2층,삼평동 740,월~토 11:30 ~ 22:00 · 휴게시간 월~금 15:00 ~ 17:00,0317077037,https://place.map.kakao.com/19514269
,제로투나인,"스테이크,립",4.1,21,41,경기 성남시 분당구 운중로146번길 19-3,운중동 1021-2,매일 15:00 ~ 17:30,0317026625,https://place.map.kakao.com/610995612
,데이빗앤룰스 판교점,"스테이크,립",,(30),94,경기 성남시 분당구 판교로319번길 13 지하1층 B101~B103호,삼평동 691,매일 15:00 ~ 17:30,0316028915,https://place.map.kakao.com/43391333
,텍사스로드하우스 현대백화점판교점,"스테이크,립",3.0,52,685,경기 성남시 분당구 판교역로146번길 20 지하1층,백현동 541,월~목 10:30 ~ 20:00,03151701046,https://place.map.kakao.com/1837479176
,헤비스테이크 판교테크노밸리점,"스테이크,립",3.6,16,37,경기 성남시 분당구 판교역로 231 에이치스퀘어에스동 1층 107호,삼평동 680,매일 11:00 ~ 21:00,0317893909,https://place.map.kakao.com/783044705
,로코스 비비큐 현대백화점판교점,"스테이크,립",,(30),44,경기 성남시 분당구 판교역로146번길 20 지하 1층,백현동 541,월~목 10:30 ~ 20:00,03151701013,https://place.map.kakao.com/1384269584
,써든스테이크 판교점,"스테이크,립",1.0,2,0,경기 성남시 분당구 판교역로 240 삼환하이펙스 A동 지하1층 125호,삼평동 678,"화,수,목,금,일 11:00 ~ 23:00 · 휴게시간 화,수,목,금,일 15:00 ~ 16:30",,https://place.map.kakao.com/1720179428
,뚜에이오,이탈리안,4.2,53,873,경기 성남시 분당구 판교공원로3길 24-2,판교동 614,매일 11:00 ~ 21:20 · 휴게시간 매일 15:00 ~ 17:00,03180161865,https://place.map.kakao.com/21484277
,더다이닝스위트,"스테이크,립",0.0,0,0,경기 성남시 분당구 서판교로44번길 17-7 지하1층 B101호,판교동 567-3,화~금 15:00 ~ 17:30,03180168913,https://place.map.kakao.com/1754002288
,아웃백스테이크하우스 판교점,패밀리레스토랑,1.2,665,303,경기 성남시 분당구 분당내곡로 131 판교테크원 지하1층,백현동 534,매일 11:00 ~ 21:30,0316017401,https://place.map.kakao.com/328132934
,스즈메그릴,"스테이크,립",0.0,0,0,경기 성남시 분당구 판교공원로2길 63 1층 101호,판교동 596-1,,,https://place.map.kakao.com/2023098777
,라비떼,이탈리안,3.9,75,274,경기 성남시 분당구 판교공원로3길 16 1층,판교동 614-6,"월,수,목,금,토,일 15:00 ~ 17:30",,https://place.map.kakao.com/14589499
,후라토식당 아브뉴프랑판교,일식집,3.7,126,525,경기 성남시 분당구 동판교로177번길 25 2층 220호,삼평동 740,매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00,0316077090,https://place.map.kakao.com/749663083
