검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
판교 오마카세,오마카세 오사이초밥 판교점,"초밥,롤",,(30),"1,696",경기 성남시 분당구 판교역로 180 알파타워 1층 106호,삼평동 645,매일 15:00 ~ 17:00,050714020542,https://place.map.kakao.com/1094403128
판교 오마카세,오마카세 스시이찌 판교점,"초밥,롤",4.0,8,25,경기 성남시 분당구 판교역로192번길 22 판교효성 해링턴타워 2층 201호,삼평동 659,매일 15:00 ~ 17:00,0317788002,https://place.map.kakao.com/1462509755
판교 오마카세,스시쿤 판교,"초밥,롤",,(30),128,경기 성남시 분당구 대왕판교로 660 유스페이스몰 1차 지하1층 115호,삼평동 670,매일 15:00 ~ 18:00,0316286972,https://place.map.kakao.com/26785774
판교 오마카세,스시혼 판교본점,"초밥,롤",3.5,41,3,"경기 성남시 분당구 동판교로177번길 25 판교호반써밋플레이스 1층 137,138호",삼평동 740,매일 11:30 ~ 22:00,,https://place.map.kakao.com/21800518
판교 오마카세,초루,"초밥,롤",,(30),89,경기 성남시 분당구 서판교로44번길 3-19 1층,판교동 567-8,월~토 14:30 ~ 17:00,0317057676,https://place.map.kakao.com/2043056315
판교 오마카세,스시쇼우민,"초밥,롤",4.5,27,79,경기 성남시 분당구 운중로125번길 14-10 1층 101호,운중동 975-1,,0317818070,https://place.map.kakao.com/33250478
판교 오마카세,스시코호시,"초밥,롤",3.2,20,125,경기 성남시 분당구 판교역로 230 1층 124호,삼평동 679,매일 15:00 ~ 18:30,0316984777,https://place.map.kakao.com/1553749887
판교 오마카세,스시다케루,"초밥,롤",,(30),128,경기 성남시 분당구 판교역로10번길 12 1층 102호,백현동 580-9,화~일 15:00 ~ 17:00,0317017017,https://place.map.kakao.com/1253143354
판교 오마카세,스시이야시,"초밥,롤",4.4,10,31,경기 성남시 분당구 판교역로 136 1층 1059호,백현동 540,월~토 16:00 ~ 17:00,0317787017,https://place.map.kakao.com/1224736604
판교 오마카세,스시히로,"초밥,롤",4.0,4,27,경기 성남시 분당구 대왕판교로 660 유스페이스1 지하1층 109호,삼평동 670,월~토 09:00 ~ 22:00 · 휴게시간 월~토 14:30 ~ 16:00,,https://place.map.kakao.com/965284303
판교 오마카세,Ymr커피,카페,4.8,5,84,경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 1층 1-100호,삼평동 741,매일 10:00 ~ 17:00,0317077678,https://place.map.kakao.com/1182575309
판교 오마카세,스시료코,일식,4.1,38,120,경기 성남시 분당구 수내로 38 두산위브센티움1 1층 101호,수내동 4-2,매일 15:00 ~ 17:30,0317192013,https://place.map.kakao.com/27589555
판교 오마카세,스시강,"초밥,롤",3.9,28,17,경기 성남시 분당구 수내로 38 1층,수내동 4-2,월~금 15:00 ~ 17:00,0317119907,https://place.map.kakao.com/22134675
판교 오마카세,스시고산,일식집,3.3,18,88,경기 성남시 분당구 백현로101번길 16 2층,수내동 19-4,월~금 14:00 ~ 17:00,0317174353,https://place.map.kakao.com/27094213
판교 오마카세,오마카세오사이초밥 정자역점,일식,4.1,15,"1,253",경기 성남시 분당구 정자일로213번길 10 성원상떼뷰리젠시 101동 107호,정자동 12-3,매일 11:30 ~ 21:00,050714900544,https://place.map.kakao.com/1371919635
판교 오마카세,스시언,"초밥,롤",4.4,45,120,경기 성남시 분당구 정자일로213번길 18 성원상떼뷰리젠시 201동 102호,정자동 12-2,월~토 15:00 ~ 18:00,01071329069,https://place.map.kakao.com/957404322
판교 오마카세,스시쵸우센,"초밥,롤",3.2,12,39,경기 성남시 분당구 황새울로319번길 6 텍스타워 1층 104호,서현동 272-3,월~토 15:00 ~ 17:00,0317040207,https://place.map.kakao.com/1969431777
