검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
,사쿠라테이엔 판교직영점,일본식주점,2.6,9,1,경기 성남시 분당구 대왕판교로606번길 45 1층 105호,삼평동 653,영업시간 매일 17:30 ~ 02:00,0317043005,https://place.map.kakao.com/478111300
,청담이상 판교점,일본식주점,3.2,17,22,경기 성남시 분당구 판교역로192번길 12 판교미래에셋센터 2층 203호,삼평동 664,월~토 17:00 ~ 01:00,03180610708,https://place.map.kakao.com/24532623
,유다 판교점,일본식주점,3.0,10,16,경기 성남시 분당구 산운로160번길 20-4 1층,운중동 970-6,화~일 17:00 ~ 03:00,03180161370,https://place.map.kakao.com/27515483
,단,일본식주점,4.2,13,35,경기 성남시 분당구 대왕판교로 660 유스페이스1 B동 160호,삼평동 670,월~금 11:30 ~ 24:00,0316281431,https://place.map.kakao.com/1652373211
,야키토리잔잔 판교점,일본식주점,4.4,15,44,경기 성남시 분당구 분당내곡로 151 1층 107~109호,삼평동 656,월~목 17:00 ~ 01:00,,https://place.map.kakao.com/1370916394
,청담이상 서판교점,일본식주점,3.7,10,7,경기 성남시 분당구 판교로25번길 22 1층,운중동 1028-3,월~토 17:00 ~ 03:00,03180178878,https://place.map.kakao.com/27118662
,사쿠라테이엔 판교본점,일본식주점,3.6,13,439,경기 성남시 분당구 판교역로192번길 16 판교타워 1층 109호,삼평동 662,매일 17:00 ~ 01:00,,https://place.map.kakao.com/636522836
,야키토리 화련,일본식주점,4.7,18,83,경기 성남시 분당구 판교역로192번길 22 판교효성해링턴타워 1층 106호,삼평동 659,영업시간 월~토 18:00 ~ 24:00,01086103302,https://place.map.kakao.com/901810630
,시치,일본식주점,,(30),142,"경기 성남시 분당구 대왕판교로606번길 31 호반메트로큐브 1층 129,130호",삼평동 647,월~금 11:30 ~ 23:30 · 휴게시간 월~금 14:30 ~ 16:30,03180169901,https://place.map.kakao.com/1945378215
,일류,일본식주점,1.1,18,564,경기 성남시 분당구 대왕판교로 670 유스페이스2 A동 2층 210호,삼평동 682,월~금 10:00 ~ 02:00 · 휴게시간 월~금 14:00 ~ 17:00,,https://place.map.kakao.com/24909604
,모로미쿠시 판교점,일본식주점,3.3,16,27,경기 성남시 분당구 판교역로192번길 14-2 1층,삼평동 660,매일 16:00 ~ 01:30,03180169835,https://place.map.kakao.com/25736604
,마츠카게,일본식주점,5.0,5,21,경기 성남시 분당구 판교역로 136 힐스테이트판교역 블루존 1층 1001호,백현동 540,영업시간 월~토 17:30 ~ 01:00,050255505124,https://place.map.kakao.com/1282394190
,미술,일본식주점,5.0,1,58,경기 성남시 분당구 판교역로192번길 22 효성해링턴타워 3층 313호,삼평동 659,월~금 17:00 ~ 24:00,01039820423,https://place.map.kakao.com/1455458102
,생마차 판교역점,일본식주점,1.0,1,0,경기 성남시 분당구 판교역로192번길 22 판교효성해링턴타워 112~114호,삼평동 659,,0317088885,https://place.map.kakao.com/923049676
,마루니,일본식주점,1.0,2,0,경기 성남시 분당구 판교역로192번길 16 판교타워 1층 109호,삼평동 662,,,https://place.map.kakao.com/316137735
,토리키치 판교점,일본식주점,5.0,2,2,경기 성남시 분당구 대왕판교로 660 2층 213호,삼평동 670,매일 17:00 ~ 01:00,07077732130,https://place.map.kakao.com/761851236
,이꾸 판교점,일본식주점,0.0,0,0,경기 성남시 분당구 판교역로 231 H스퀘어 S동 2층,삼평동 680,,0317893633,https://place.map.kakao.com/899471644
,쿠시노아 서판교점,일본식주점,0.0,0,0,경기 성남시 분당구 판교공원로2길 62 101호,판교동 601-3,영업시간 월~토 17:30 ~ 24:00,07040708899,https://place.map.kakao.com/1344652332
,이자까야모리,일본식주점,0.0,0,0,경기 성남시 분당구 대왕판교로606번길 58 월드마크 1층 113호,삼평동 741,,,https://place.map.kakao.com/1003629798
,이자카야단,일본식주점,0.0,0,0,경기 성남시 분당구 대왕판교로 660,삼평동 670,,0316281431,https://place.map.kakao.com/1616231457
,이토리 판교점,일본식주점,3.0,1,0,경기 성남시 분당구 판교역로192번길 22,삼평동 659,,,https://place.map.kakao.com/23578819
,보쿠노하나시,일본식주점,0.0,0,0,경기 성남시 분당구 대왕판교로 660,삼평동 670,,,https://place.map.kakao.com/26798265
,스미노카리 서현점,일본식주점,4.0,33,112,경기 성남시 분당구 황새울로319번길 6 텍스타워 1층 102호,서현동 272-3,"월,화,수,목,일 17:00 ~ 01:00",0317081151,https://place.map.kakao.com/339004790
,리빙오사카,일본식주점,3.9,36,112,경기 성남시 분당구 황새울로 315 102호,서현동 273-5,월~토 16:00 ~ 01:00,01049810839,https://place.map.kakao.com/12789941
,삼경,일본식주점,2.5,6,20,경기 성남시 분당구 황새울로258번길 10-7 103호,수내동 8-3,"월,화,수,목,금,일 14:00 ~ 17:30",0317185971,https://place.map.kakao.com/26556558
,모모코 정자점,일본식주점,3.3,24,98,경기 성남시 분당구 정자일로 197,정자동 16-2,매일 16:00 ~ 03:00,,https://place.map.kakao.com/26937927
,모로미쿠시 서현점,일본식주점,3.4,16,21,경기 성남시 분당구 황새울로 337 웰빙프라자 1층,서현동 260-6,월~금 17:00 ~ 02:00,03180169834,https://place.map.kakao.com/23524062
,잔잔 서현역점,일본식주점,3.8,56,609,경기 성남시 분당구 황새울로335번길 8 덕산빌딩 1층,서현동 260-4,"월,화,수,목,일 17:00 ~ 01:00",0317030877,https://place.map.kakao.com/1407616315
,웅성웅성 서현점,일본식주점,4.7,61,63,경기 성남시 분당구 황새울로335번길 5 1층,서현동 261-5,매일 16:00 ~ 02:00,0316961211,https://place.map.kakao.com/1347737473
,청담이상 서현점,일본식주점,2.5,11,20,경기 성남시 분당구 황새울로 337 웰빙프라자 2층 204호,서현동 260-6,매일 17:00 ~ 02:00,,https://place.map.kakao.com/940743881
,미미,일본식주점,4.7,42,124,경기 성남시 분당구 서현로 192,서현동 251-1,매일 16:00 ~ 24:00,0317099834,https://place.map.kakao.com/1332880385
,웅성웅성 서현본점,일본식주점,4.7,34,689,경기 성남시 분당구 황새울로311번길 28 롯데서현주차빌딩 1층 108호,서현동 275,매일 16:00 ~ 02:00,0317017888,https://place.map.kakao.com/1473325396
,도리토리 분당수내점,일본식주점,5.0,3,373,경기 성남시 분당구 황새울로258번길 10-9 영성라벤더 106호,수내동 8-4,월~금 16:00 ~ 01:00,01058289353,https://place.map.kakao.com/1069239715
,곤야,일본식주점,4.5,2,85,경기 성남시 분당구 황새울로 315 대현빌딩 1층 101호,서현동 273-2,매일 16:30 ~ 01:00,0317045079,https://place.map.kakao.com/1251682542
,모로미 수내점,일본식주점,4.1,7,33,"경기 성남시 분당구 황새울로258번길 32 코리아나빌딩 205, 206호",수내동 7-5,영업시간 월~토 17:30 ~ 24:00,0317110209,https://place.map.kakao.com/662647181
,해루 바다의하루,일본식주점,4.3,7,14,경기 성남시 분당구 황새울로258번길 10-7 102호,수내동 8-3,매일 10:30 ~ 24:00 · 휴게시간 매일 14:30 ~ 17:00,0317153114,https://place.map.kakao.com/2078821972
,남오토코 정자점,일본식주점,3.5,30,9,"경기 성남시 분당구 느티로 16 젤존타워1 1층 119, 120호",정자동 17-1,월~목 17:00 ~ 23:30,0317110771,https://place.map.kakao.com/11892193
,꼬치선생101 분당서현점,일본식주점,1.6,10,18,경기 성남시 분당구 황새울로360번길 28 3층 301호,서현동 247-4,매일 17:00 ~ 05:00,0317087733,https://place.map.kakao.com/1536052042
,생마차 분당서현점,일본식주점,2.8,4,18,경기 성남시 분당구 서현로210번길 2 성지하이츠텔 1층 104호,서현동 245-3,월~토 15:00 ~ 05:00,0317057889,https://place.map.kakao.com/745197447
,사라,일본식주점,3.7,13,1,"경기 성남시 분당구 정자일로213번길 5 아이파크분당 301동 103,104호",정자동 11,,0317158999,https://place.map.kakao.com/1592105734
,슌,일본식주점,3.7,15,148,"경기 성남시 분당구 장미로 42 야탑리더스 124,125호",야탑동 342-1,월~토 16:00 ~ 02:00,0317095795,https://place.map.kakao.com/12097441
,야키토리 잔잔 정자역점,일본식주점,3.5,11,0,경기 성남시 분당구 정자일로 192 지파크프라자 101호,정자동 23-1,영업시간 매일 17:30 ~ 02:00,050713300877,https://place.map.kakao.com/1085162986
,센다이,일본식주점,3.8,13,23,경기 성남시 분당구 정자일로 192 지파크프라자 102호,정자동 23-1,영업시간 월~토 17:30 ~ 02:00,0317151470,https://place.map.kakao.com/9936131
,우규 서현연어와육회점,일본식주점,4.0,2,839,경기 성남시 분당구 중앙공원로39번길 49 서현 지엔느 110호,서현동 88,매일 17:00 ~ 02:00,0317819997,https://place.map.kakao.com/172940006
,정연,일본식주점,3.4,9,54,경기 성남시 분당구 황새울로108번길 18 1층,정자동 67-2,월~토 17:00 ~ 01:00,,https://place.map.kakao.com/109400912
,유다,일본식주점,4.0,4,14,경기 성남시 분당구 느티로 16,정자동 17-1,화~일 17:00 ~ 02:00,0317128989,https://place.map.kakao.com/162947872
,시즈카 분당점,일본식주점,0.0,0,0,경기 성남시 분당구 황새울로 315 대현빌딩 205호,서현동 273-1,,,https://place.map.kakao.com/8130275
,야구장옆선술집,일본식주점,0.0,0,0,경기 성남시 분당구 황새울로335번길 10 멜로즈프라자 5층,서현동 260-3,,0317030030,https://place.map.kakao.com/1014821791
,마하수리이자카야,일본식주점,5.0,1,15,경기 성남시 분당구 느티로 16 1층 117호,정자동 17-1,월~토 17:00 ~ 01:00,,https://place.map.kakao.com/1710143654
,노군꼬치 분당서현점,일본식주점,4.7,6,4,경기 성남시 분당구 중앙공원로39번길 49 지엔느오피스텔 1층 125호,서현동 88,매일 17:00 ~ 24:00,050713642869,https://place.map.kakao.com/1223672283
,하루인,일본식주점,4.7,29,157,경기 성남시 분당구 성남대로331번길 9-9 2층 203호,정자동 157-4,월~토 15:00 ~ 24:00,0317112224,https://place.map.kakao.com/699297363
,오이시,일본식주점,3.0,1,0,경기 성남시 분당구 황새울로360번길 24 4층,서현동 247-2,,,https://place.map.kakao.com/24165240
,무한사케무사 서현점,일본식주점,3.0,1,0,경기 성남시 분당구 황새울로360번길 26 4층,서현동 247-3,,,https://place.map.kakao.com/27408245
,스미노카리 정자점,일본식주점,4.7,13,451,경기 성남시 분당구 정자일로 162 109호,정자동 159-4,매일 17:00 ~ 01:00,,https://place.map.kakao.com/774215310
,벚꽃나무,일본식주점,1.0,1,4,경기 성남시 분당구 성남대로331번길 13 1층 113호,정자동 159-2,영업시간 매일 18:00 ~ 05:00,,https://place.map.kakao.com/1720897670
,츠키,일본식주점,4.2,13,384,경기 성남시 분당구 정자일로156번길 6 111호,정자동 155-1,월~토 11:30 ~ 24:00 · 휴게시간 월~금 14:30 ~ 17:00,0317788484,https://place.map.kakao.com/146844367
,아미이자까야,일본식주점,5.0,1,0,경기 성남시 분당구 느티로 16 젤존타워 1층,정자동 17-1,,0317113532,https://place.map.kakao.com/1453751756
,이자까야라꾸,일본식주점,0.0,0,0,경기 성남시 분당구 정자일로 192,정자동 23-1,,,https://place.map.kakao.com/26644117
,미츠토리 정자점,일본식주점,4.6,5,208,경기 성남시 분당구 성남대로331번길 13 105호,정자동 159-1,월~금 17:00 ~ 01:00,,https://place.map.kakao.com/933987832
,무한사케무사 정자점,일본식주점,0.0,0,0,경기 성남시 분당구 느티로 16,정자동 17-1,,0317119196,https://place.map.kakao.com/2044858904
,로바타풍산,일본식주점,0.0,0,0,경기 성남시 분당구 정자일로 197 1층 109호,정자동 16-2,영업시간 월~토 17:30 ~ 01:30,,https://place.map.kakao.com/337964350
,예술,일본식주점,,(30),97,경기 성남시 수정구 청계산로1길 21 1층,고등동 594-2,월~금 11:00 ~ 24:00 · 휴게시간 월~금 14:00 ~ 17:00,050713268878,https://place.map.kakao.com/611048600
,아쿠아마,일본식주점,4.9,14,36,경기 성남시 분당구 성남대로331번길 3-13 대명제스트빌딩 1층 107호,정자동 156-3,화~토 17:00 ~ 02:00,01095487065,https://place.map.kakao.com/163968442
,청담이상 정자점,일본식주점,3.3,9,35,경기 성남시 분당구 정자일로 146,정자동 165-1,월~토 16:30 ~ 01:00,0317254884,https://place.map.kakao.com/27515109
,백야다이닝라운지,일본식주점,3.7,13,64,경기 성남시 분당구 성남대로331번길 11-15 봉우빌딩 2층,정자동 158-7,매일 15:00 ~ 01:00,0317174421,https://place.map.kakao.com/1755264592
,쇼군 선술집,일본식주점,0.0,0,1,경기 성남시 분당구 야탑로69번길 18 동아프라자 2층,야탑동 353-2,,,https://place.map.kakao.com/26897668
