검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
판교 이탈리안,뚜에이오,이탈리안,4.2,53,873,경기 성남시 분당구 판교공원로3길 24-2,판교동 614,매일 11:00 ~ 21:20 · 휴게시간 매일 15:00 ~ 17:00,03180161865,https://place.map.kakao.com/21484277
판교 이탈리안,파파라구,이탈리안,3.7,140,521,"경기 성남시 분당구 판교역로10번길 22-3 1층 101,102호",백현동 562-4,"월,수,목,금,토,일 11:30 ~ 21:00 · 휴게시간 월,수,목,금 15:00 ~ 17:00",0317095624,https://place.map.kakao.com/555051094
판교 이탈리안,라비떼,이탈리안,3.9,75,274,경기 성남시 분당구 판교공원로3길 16 1층,판교동 614-6,"월,수,목,금,토,일 15:00 ~ 17:30",,https://place.map.kakao.com/14589499
판교 이탈리안,빈티지1988,이탈리안,3.1,48,442,경기 성남시 분당구 판교역로 231 H스퀘어 S동 1층 101호,삼평동 680,월~금 14:30 ~ 17:30,050713871993,https://place.map.kakao.com/17772351
판교 이탈리안,세렌,이탈리안,3.8,56,300,경기 성남시 분당구 운중로188번길 11 1층,운중동 1031-4,매일 15:00 ~ 17:30,0317090775,https://place.map.kakao.com/25081012
판교 이탈리안,푸치니,이탈리안,4.2,27,52,경기 성남시 분당구 판교로25번길 6-3 1층,운중동 1033-2,화~토 15:00 ~ 17:30,0317013398,https://place.map.kakao.com/20230758
판교 이탈리안,오스테리아 워모잡,이탈리안,3.4,29,250,경기 성남시 분당구 판교공원로2길 40-1 1층,판교동 600-5,매일 15:00 ~ 17:30,01030059541,https://place.map.kakao.com/708092398
판교 이탈리안,라그릴리아 판교점,이탈리안,4.2,40,112,경기 성남시 분당구 판교역로 166 카카오 판교 아지트 1층 17호,백현동 532,매일 11:30 ~ 21:00,0317070999,https://place.map.kakao.com/325713516
판교 이탈리안,라스토리아1001,이탈리안,,(30),266,경기 성남시 분당구 판교공원로3길 24 1층,판교동 617-1,수~일 11:00 ~ 21:00 · 휴게시간 수~금 15:00 ~ 17:00,050255516969,https://place.map.kakao.com/27300858
판교 이탈리안,이탈리 판교점,이탈리안,3.2,49,231,경기 성남시 분당구 판교역로146번길 20 현대백화점 지하1층,백현동 541,월~목 10:30 ~ 20:00,03151701061,https://place.map.kakao.com/27517572
판교 이탈리안,베네쿠치,이탈리안,4.1,18,48,경기 성남시 분당구 운중로146번길 19 1층,운중동 1021-3,화~금 11:30 ~ 21:30,,https://place.map.kakao.com/15610994
판교 이탈리안,피제리아 비니스,이탈리안,4.5,53,598,경기 성남시 분당구 판교공원로1길 70 1층,판교동 610,수~일 15:30 ~ 17:30,0317010345,https://place.map.kakao.com/2092406855
판교 이탈리안,더플레이스 판교점,이탈리안,4.4,60,169,경기 성남시 분당구 동판교로177번길 25 1층,삼평동 740,매일 10:00 ~ 22:00,0317010421,https://place.map.kakao.com/1705454349
판교 이탈리안,메즈클라,이탈리안,3.9,35,0,경기 성남시 분당구 운중로146번길 35-1,운중동 1026-4,화~일 15:00 ~ 17:30,050713607544,https://place.map.kakao.com/738713721
