검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
판교 일식집,삿뽀로 판교점,일식집,3.5,62,93,경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 2033호,삼평동 741,매일 11:30 ~ 21:30,03180165990,https://place.map.kakao.com/22484458
판교 일식집,긴자 판교점,일식집,3.3,42,105,경기 성남시 분당구 판교로 185 신화푸드빌리지 3층 301호,판교동 498,매일 11:30 ~ 22:00,0317029317,https://place.map.kakao.com/26815946
판교 일식집,도원참치,참치회,4.2,43,975,경기 성남시 분당구 판교역로192번길 14-2,삼평동 660,월~토 11:00 ~ 23:00,03180164588,https://place.map.kakao.com/713103694
판교 일식집,다이호시,일식,3.8,79,"1,349",경기 성남시 분당구 판교역로10번길 6 1층,백현동 581-9,매일 15:00 ~ 17:30,0317058322,https://place.map.kakao.com/1726447229
판교 일식집,후라토식당 아브뉴프랑판교,일식집,3.7,126,525,경기 성남시 분당구 동판교로177번길 25 2층 220호,삼평동 740,매일 15:00 ~ 17:00,0316077090,https://place.map.kakao.com/749663083
판교 일식집,아나바,"초밥,롤",4.2,84,131,경기 성남시 분당구 대왕판교로606번길 58,삼평동 741,매일 14:20 ~ 17:00,0316266002,https://place.map.kakao.com/1978319271
판교 일식집,판교매일식당 판교본점,"돈까스,우동",3.5,50,81,경기 성남시 분당구 판교역로192번길 14-2 1층,삼평동 660,매일 15:00 ~ 17:00,,https://place.map.kakao.com/26797370
판교 일식집,스시쿤 판교,"초밥,롤",,(30),128,경기 성남시 분당구 대왕판교로 660 유스페이스몰 1차 지하1층 115호,삼평동 670,매일 15:00 ~ 18:00,0316286972,https://place.map.kakao.com/26785774
판교 일식집,스시가좋아서,"초밥,롤",4.7,63,33,경기 성남시 분당구 판교로 372 스타식스코아 2층 202호,삼평동 721,화~일 15:00 ~ 17:00,0317814920,https://place.map.kakao.com/903868249
판교 일식집,스시혼 판교본점,"초밥,롤",3.5,41,3,"경기 성남시 분당구 동판교로177번길 25 판교호반써밋플레이스 1층 137,138호",삼평동 740,매일 11:30 ~ 22:00,,https://place.map.kakao.com/21800518
판교 일식집,카츠쇼쿠도우 판교본점,"돈까스,우동",4.0,56,79,경기 성남시 분당구 판교역로 152 알파돔타워3 지하1층 9호,백현동 537,월~금 11:30 ~ 21:30,0316227134,https://place.map.kakao.com/652267180
판교 일식집,오복수산 판교점,일식집,4.1,128,353,경기 성남시 분당구 분당내곡로 131 판교테크원 2층 3호,백현동 534,매일 15:00 ~ 17:00,050713987544,https://place.map.kakao.com/1672509004
판교 일식집,판교초밥,"초밥,롤",3.5,21,18,경기 성남시 분당구 운중로125번길 4-7 1층,운중동 976-3,매일 15:00 ~ 17:00,0317037607,https://place.map.kakao.com/1737644313
판교 일식집,이춘복참치 판교,일식,,(30),141,경기 성남시 분당구 동판교로177번길 25 2층 216호,삼평동 740,매일 14:30 ~ 16:30,0317044558,https://place.map.kakao.com/228152007
판교 일식집,히카루후,일식,3.9,44,305,경기 성남시 분당구 동판교로177번길 25 아브뉴프랑 판교점 2층 217호,삼평동 740,매일 15:00 ~ 17:00,0316260073,https://place.map.kakao.com/1698639393
판교 일식집,스시선,"초밥,롤",4.4,20,31,경기 성남시 분당구 판교로 375 메가스페이스1 1층 105호,삼평동 709,매일 15:00 ~ 17:00,0317018880,https://place.map.kakao.com/1481527240
판교 일식집,오마카세 오사이초밥 판교점,"초밥,롤",,(30),"1,696",경기 성남시 분당구 판교역로 180 알파타워 1층 106호,삼평동 645,매일 15:00 ~ 17:00,050714020542,https://place.map.kakao.com/1094403128
판교 일식집,규카츠정 판교점,일식,4.8,227,735,경기 성남시 분당구 판교역로 231 H스퀘어 S동 1층 115호,삼평동 680,월~토 15:00 ~ 17:00,07043236201,https://place.map.kakao.com/230608442
판교 일식집,소바니우동,"돈까스,우동",4.1,55,73,경기 성남시 분당구 대왕판교로 660 유스페이스1 지하 122호,삼평동 670,월~금 14:00 ~ 17:30,0317242711,https://place.map.kakao.com/26799024
판교 일식집,서호돈가스 판교점,"돈까스,우동",3.9,51,19,경기 성남시 분당구 판교역로 231 H스퀘어 s동 1층,삼평동 680,월~금 14:50 ~ 17:00,0317893630,https://place.map.kakao.com/21764347
판교 일식집,풍류 더 블랙,일식,,(30),30,경기 성남시 분당구 대왕판교로606번길 39 럭스타워 지하1층,삼평동 651,영업시간 월~금 17:00 ~ 24:00,01040307311,https://place.map.kakao.com/1680634635
판교 일식집,클준빛날영,일본식라면,4.3,66,64,경기 성남시 분당구 판교역로 240 삼환하이펙스 A동 지하1층 126호,삼평동 678,월~금 14:00 ~ 17:00,05067189296,https://place.map.kakao.com/1854936739
판교 일식집,킨파,일식,4.2,36,61,경기 성남시 분당구 판교로227번길 6 판교테크노밸리브릿지타워 1층 106호,삼평동 617,월~금 11:10 ~ 21:00,050713213677,https://place.map.kakao.com/1633961142
판교 일식집,천야,일식집,3.6,12,37,경기 성남시 분당구 대왕판교로 670 유스페이스2 B동 지하1층,삼평동 682,월~금 15:00 ~ 17:00,0317398335,https://place.map.kakao.com/1564306181
판교 일식집,초루,"초밥,롤",,(30),89,경기 성남시 분당구 서판교로44번길 3-19 1층,판교동 567-8,월~토 14:30 ~ 17:00,0317057676,https://place.map.kakao.com/2043056315
판교 일식집,스시쇼우민,"초밥,롤",4.5,27,79,경기 성남시 분당구 운중로125번길 14-10 1층 101호,운중동 975-1,,0317818070,https://place.map.kakao.com/33250478
판교 일식집,미스터신돈까스,"돈까스,우동",3.6,27,30,경기 성남시 분당구 판교공원로5길 35 1층,판교동 619,화~일 15:30 ~ 17:00,03180163389,https://place.map.kakao.com/18242472
판교 일식집,스시가오,"초밥,롤",3.3,15,20,경기 성남시 분당구 판교로255번길 9-22,삼평동 618,월~금 14:00 ~ 17:30,0316287828,https://place.map.kakao.com/1622093037
판교 일식집,기요항 판교점,일식집,4.3,53,383,경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 1층 1-90호,삼평동 741,매일 15:00 ~ 17:00,0317078589,https://place.map.kakao.com/2095966716
판교 일식집,오마카세 스시이찌 판교점,"초밥,롤",4.0,8,25,경기 성남시 분당구 판교역로192번길 22 판교효성 해링턴타워 2층 201호,삼평동 659,매일 15:00 ~ 17:00,0317788002,https://place.map.kakao.com/1462509755
판교 일식집,메종드도쿄,일식,4.1,7,25,경기 성남시 분당구 판교로25번길 16 1층,운중동 1030-3,월~토 15:00 ~ 17:00,0317051030,https://place.map.kakao.com/359132007
판교 일식집,댓짱돈까스,"돈까스,우동",3.1,14,5,경기 성남시 분당구 운중로166번길 10,운중동 1023-2,,0317818259,https://place.map.kakao.com/1546544717
판교 일식집,하루,일식,4.3,6,40,경기 성남시 분당구 판교역로 231 H스퀘어 S동 1층 131호,삼평동 680,월~토 14:30 ~ 17:00,0316967588,https://place.map.kakao.com/670256293
판교 일식집,일상화식,일식,3.6,22,55,경기 성남시 분당구 대왕판교로 670 유스페이스2 2층 226호,삼평동 682,월~금 14:00 ~ 17:00,0317398340,https://place.map.kakao.com/946061234
판교 일식집,흥도식당 판교점,"돈까스,우동",4.4,82,282,경기 성남시 분당구 분당내곡로 131 판교테크원타워 2층 12호,백현동 534,월~토 15:00 ~ 17:30,,https://place.map.kakao.com/1520104168
판교 일식집,야키토리 야키준,일식,4.2,14,84,경기 성남시 분당구 판교역로 178 서건타워 1층 101호,삼평동 646,영업시간 월~토 18:00 ~ 23:00,0317076447,https://place.map.kakao.com/566578267
판교 일식집,스시코호시,"초밥,롤",3.2,20,125,경기 성남시 분당구 판교역로 230 1층 124호,삼평동 679,매일 15:00 ~ 18:30,0316984777,https://place.map.kakao.com/1553749887
판교 일식집,스시다케루,"초밥,롤",,(30),128,경기 성남시 분당구 판교역로10번길 12 1층 102호,백현동 580-9,화~일 15:00 ~ 17:00,0317017017,https://place.map.kakao.com/1253143354
판교 일식집,오레노카츠 판교점,"돈까스,우동",2.4,7,215,경기 성남시 분당구 판교로 372 1층 104~105호,삼평동 721,매일 14:30 ~ 16:30,0317015989,https://place.map.kakao.com/107966007
판교 일식집,스시이야시,"초밥,롤",4.4,10,31,경기 성남시 분당구 판교역로 136 1층 1059호,백현동 540,월~토 12:00 ~ 22:00 · 휴게시간 월~토 16:00 ~ 17:00,0317787017,https://place.map.kakao.com/1224736604
판교 일식집,네코부루 본점,일식,4.2,19,19,경기 성남시 분당구 판교로319번길 13 디테라스 1층 112호,삼평동 691,월~토 11:30 ~ 22:00,0316060112,https://place.map.kakao.com/1008223891
판교 일식집,서호돈가스,"돈까스,우동",3.9,8,30,경기 성남시 분당구 판교로255번길 9-22 판교우림W-CITY 지하1층 106호,삼평동 618,월~금 15:00 ~ 17:00,0316287729,https://place.map.kakao.com/1692190479
