검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
판교 중식,이가네양꼬치 판교본점,양꼬치,4.0,188,570,경기 성남시 분당구 분당내곡로 155 KCC웰츠타워 104호,삼평동 657,매일 12:00 ~ 24:00,050713599688,https://place.map.kakao.com/27178420
판교 중식,동청담 삼평직영점,중국요리,3.2,37,39,경기 성남시 분당구 대왕판교로606번길 45 푸르지오시티 2층 206호,삼평동 653,매일 15:00 ~ 17:00,0317057777,https://place.map.kakao.com/27351405
판교 중식,차알 판교점,중국요리,2.9,106,690,경기 성남시 분당구 동판교로177번길 25 판교아비뉴프랑 2층 214-215호,삼평동 740,매일 15:00 ~ 17:00,0317017679,https://place.map.kakao.com/1732222759
판교 중식,몽중헌 판교점,중식,3.7,86,356,경기 성남시 분당구 분당내곡로 131 판교테크원타워 2층,백현동 534,매일 15:00 ~ 17:30,0316017574,https://place.map.kakao.com/1349313781
판교 중식,최고집짬뽕,중국요리,3.3,69,65,경기 성남시 분당구 판교역로10번길 12-9,백현동 580-4,매일 15:30 ~ 16:30,,https://place.map.kakao.com/13100819
판교 중식,청계산수타,중국요리,3.3,50,16,경기 성남시 분당구 판교공원로5길 22 1층,판교동 618-8,매일 10:40 ~ 21:00,0317077647,https://place.map.kakao.com/15649994
판교 중식,신승반점 현대백화점판교점,중국요리,3.5,95,379,경기 성남시 분당구 판교역로146번길 20 지하1층,백현동 541,월~금 15:00 ~ 16:30,03151701051,https://place.map.kakao.com/26945095
판교 중식,베이징스토리,중국요리,2.6,35,51,경기 성남시 분당구 판교역로 230 삼환하이펙스 B동 1층 120-1호,삼평동 679,월~토 15:00 ~ 17:00,0316960306,https://place.map.kakao.com/18780412
판교 중식,마라공방 판교점,중국요리,3.7,34,121,경기 성남시 분당구 판교역로192번길 12 판교미래에셋센터 2층 206호,삼평동 664,매일 11:00 ~ 22:00,03180610780,https://place.map.kakao.com/1456380135
판교 중식,명품조박사짬뽕짜장,중국요리,3.7,34,36,경기 성남시 분당구 동판교로 153 1층,삼평동 742,매일 10:00 ~ 22:00,07077185446,https://place.map.kakao.com/26900925
판교 중식,전국5대짬뽕연화산,중국요리,3.4,47,67,경기 성남시 분당구 서판교로58번길 14,판교동 567-1,매일 11:00 ~ 21:00,0317816350,https://place.map.kakao.com/26878413
