검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
판교 치킨,홀썸치킨 판교점,치킨,3.8,66,93,경기 성남시 분당구 대왕판교로606번길 58 푸르지오월드마크 1층 113호,삼평동 741,월~금 15:00 ~ 24:00,03180166400,https://place.map.kakao.com/24346667
판교 치킨,교촌치킨 동판교점,치킨,2.5,30,20,경기 성남시 분당구 판교역로192번길 12 1층,삼평동 664,매일 11:30 ~ 24:00,03180610771,https://place.map.kakao.com/38505367
판교 치킨,BHC치킨 판교점,치킨,3.0,39,20,경기 성남시 분당구 대왕판교로606번길 47 1층 102-1호,삼평동 655,매일 12:00 ~ 24:00,03180177942,https://place.map.kakao.com/26871080
판교 치킨,엠에스생감자치킨,치킨,3.9,15,14,경기 성남시 분당구 판교역로 230,삼평동 679,월~금 11:30 ~ 24:00 · 휴게시간 월~금 14:00 ~ 16:30,0316970668,https://place.map.kakao.com/211935378
판교 치킨,노랑통닭 분당판교점,치킨,3.0,4,0,경기 성남시 분당구 동판교로 153 봇들마을8단지아파트 나상가동 1층 101호,삼평동 742,매일 15:00 ~ 24:00,0317010311,https://place.map.kakao.com/1609645071
판교 치킨,교촌치킨 서판교점,치킨,2.2,17,5,경기 성남시 분당구 판교공원로1길 3 1층,판교동 612-3,매일 12:00 ~ 23:00,0317021990,https://place.map.kakao.com/26939960
판교 치킨,BBQ 판교테크노밸리점,치킨,2.0,23,1,경기 성남시 분당구 판교역로 231 에스동 1층 121호,삼평동 680,매일 11:00 ~ 23:00,0316967557,https://place.map.kakao.com/1841382528
판교 치킨,치킨89 맥주관,치킨,4.1,9,13,경기 성남시 분당구 판교공원로1길 47 지하1층,판교동 604-1,매일 16:00 ~ 23:30,0317060890,https://place.map.kakao.com/19959183
판교 치킨,처갓집양념치킨 동판교점,치킨,4.6,13,11,경기 성남시 분당구 동판교로52번길 9-3 1층,백현동 604-7,화~일 13:00 ~ 01:00,0317049222,https://place.map.kakao.com/25976120
판교 치킨,60계 서판교점,치킨,4.8,4,14,경기 성남시 분당구 판교공원로3길 6 1층 102호,판교동 613-2,"월,수,목,금 15:00 ~ 23:00",0317098960,https://place.map.kakao.com/194383383
판교 치킨,굽네치킨 서판교점,치킨,3.5,10,1,경기 성남시 분당구 운중로178번길 1 1층 107호,운중동 1018-4,수 11:30 ~ 23:00,0317099294,https://place.map.kakao.com/12591574
판교 치킨,깐부치킨 판교역점,치킨,2.6,10,9,경기 성남시 분당구 대왕판교로606번길 45 1층,삼평동 653,월~금 17:00 ~ 24:00,0317025560,https://place.map.kakao.com/247279993
판교 치킨,정치킨,치킨,4.0,11,17,"경기 성남시 분당구 판교역로 230 삼환하이펙스 B동 지하1층 119, 119-1, 120호",삼평동 679,월~금 16:30 ~ 01:00,,https://place.map.kakao.com/1217948636
판교 치킨,BBQ 판교백현마을점,치킨,1.2,19,1,경기 성남시 분당구 판교역로 109 SK허브오피스텔 B동 지하1층 127호,백현동 529,매일 11:00 ~ 24:00,0317079247,https://place.map.kakao.com/1545471685
판교 치킨,깐부치킨 판교산운마을점,치킨,3.4,9,1,경기 성남시 분당구 운중로138번길 28-2,운중동 931-4,화~일 16:30 ~ 24:00,03180175054,https://place.map.kakao.com/12783723
판교 치킨,클레어수제치킨,치킨,4.0,10,3,경기 성남시 분당구 판교역로 109 1층,백현동 529,매일 16:00 ~ 02:00,0317059800,https://place.map.kakao.com/94723396
판교 치킨,푸라닭치킨 분당동판교점,치킨,3.6,11,0,경기 성남시 분당구 동판교로 123 판교푸르지오그랑블 203동 102호,백현동 542,매일 12:00 ~ 23:30 · 휴게시간 매일 15:00 ~ 16:00,0317039206,https://place.map.kakao.com/1801334649
판교 치킨,굽네치킨 동판교점,치킨,2.4,14,3,경기 성남시 분당구 동판교로 155 봇들마을7단지아파트 상가동 1층 105호,삼평동 738,매일 09:00 ~ 01:40,0317019293,https://place.map.kakao.com/1539399430
판교 치킨,프랑킨숯불양념구이치킨 동판교점,치킨,4.7,3,7,경기 성남시 분당구 동판교로52번길 21-4 성문빌딩 1층,백현동 589-2,매일 15:00 ~ 03:00,0317076777,https://place.map.kakao.com/559066051
판교 치킨,훌랄라참숯바베큐치킨,치킨,4.2,5,4,경기 성남시 분당구 서판교로44번길 3-6,판교동 566,매일 16:00 ~ 24:00,03180179290,https://place.map.kakao.com/13050962
판교 치킨,매드후라이치킨 판교역점,치킨,1.6,33,9,경기 성남시 분당구 판교역로192번길 14-1 판교예미지빌딩 1층,삼평동 661,매일 17:00 ~ 02:00,,https://place.map.kakao.com/26588158
판교 치킨,바른치킨 서판교운중점,치킨,2.5,11,5,경기 성남시 분당구 운중로 124 마크시티블루 1층 110호,운중동 945,매일 14:00 ~ 24:00,03180173988,https://place.map.kakao.com/1089538399
판교 치킨,토담옛날통닭 서판교점,치킨,3.3,9,3,경기 성남시 분당구 운중로 124 1층 105호,운중동 945,"월,수,목,금,토,일 13:00 ~ 23:30",01080240014,https://place.map.kakao.com/1521702669
판교 치킨,BHC치킨 삼평점,치킨,3.8,4,1,경기 성남시 분당구 판교로 393 봇들마을2단지이지더원아파트상가 1층,삼평동 717,매일 12:00 ~ 23:30,0317075888,https://place.map.kakao.com/2113710642
판교 치킨,치킨마루 백현화랑초교점,치킨,5.0,8,7,경기 성남시 분당구 동판교로 91 백현마을4단지 상가동 1층 B107호,백현동 553,매일 15:30 ~ 24:00,0317047780,https://place.map.kakao.com/22352785
판교 치킨,치킨플러스 동판교점,치킨,5.0,1,2,경기 성남시 분당구 동판교로 212 봇들마을6단지아파트 가 상가 101호,삼평동 728,화~목 12:00 ~ 24:00,03180169233,https://place.map.kakao.com/548622116
판교 치킨,명동닭튀김 서판교점,치킨,4.5,12,0,경기 성남시 분당구 운중로126번길 12,운중동 932-3,,03180167864,https://place.map.kakao.com/1215482911
