검색키워드,가게이름,카테고리,평점,평점건수,리뷰수,주소,지번,영업시간,연락처,상세정보링크
판교 한식집,능라도 본점,냉면,3.0,269,350,경기 성남시 분당구 산운로32번길 12 1-3층,운중동 883-3,매일 11:00 ~ 20:30,0317813989,https://place.map.kakao.com/14747791
판교 한식집,우설화 판교점,"육류,고기",3.7,63,159,경기 성남시 분당구 판교로 185 신화푸드빌리지 3층,판교동 498,매일 11:30 ~ 22:00,0317029407,https://place.map.kakao.com/26874704
판교 한식집,방아깐,"해물,생선",3.9,96,342,경기 성남시 분당구 판교공원로1길 55,판교동 603-2,월~토 15:00 ~ 24:00,03180179107,https://place.map.kakao.com/15738374
판교 한식집,크래버 대게나라 판교점,"게,대게",4.1,94,156,경기 성남시 분당구 판교역로 178 서건빌딩 13층,삼평동 646,매일 11:30 ~ 22:00,03180165593,https://place.map.kakao.com/15253892
판교 한식집,서울멸치쌈밥,쌈밥,4.1,63,77,경기 성남시 분당구 판교역로10번길 10-3 1층,백현동 580-7,화~일 11:00 ~ 20:30 · 휴게시간 화~일 14:30 ~ 16:30,03180173999,https://place.map.kakao.com/27478057
판교 한식집,람바다,"해물,생선",3.4,29,88,경기 성남시 분당구 판교역로 184,삼평동 643,매일 11:00 ~ 23:00,0317013094,https://place.map.kakao.com/859737359
판교 한식집,해우리 판교점,"해물,생선",3.2,26,45,경기 성남시 분당구 판교역로 145 알파리움타워 지하1층,백현동 530,월~금 14:30 ~ 17:00,0317014997,https://place.map.kakao.com/529308482
판교 한식집,신도세기 판교역점,"육류,고기",3.9,129,143,경기 성남시 분당구 판교역로 152 알파돔타워 2층 207호,백현동 537,월~토 14:30 ~ 17:00,0316227188,https://place.map.kakao.com/976327217
판교 한식집,양우정 판교점,"육류,고기",4.6,74,35,경기 성남시 분당구 대왕판교로606번길 10 상가동 라스트리트 1동 1층 112~114호,백현동 531,매일 15:00 ~ 17:00,0317069252,https://place.map.kakao.com/2103661220
판교 한식집,천지연 판교점,갈비,3.0,36,52,경기 성남시 분당구 판교로 185 신화푸드빌리지 1층,판교동 498,매일 11:30 ~ 22:00,0317029506,https://place.map.kakao.com/26782125
