id,name,category_id,score,review,address,operating_hour,expanded_days,time_range,phone_number,image_urls,convenience,caution,is_deleted
02-01,수하담,브런치카페,3.5,108,경기 성남시 분당구 판교로 190-8 1-2층,매일 09:00 ~ 19:00,"월,화,수,목,금,토,일",09:00 ~ 19:00,3180166170.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F667BD073CE2547F59F319171D546646D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F202781F1A8284544A58FBBDAB0EF65CF, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F507B9BA8534B41C288FE2ACFB020336B",주차,예약불가,False
02-02,오픈커피 판교본점,브런치카페,3.8,170,"경기 성남시 분당구 판교역로14번길 15 성음아트센터 1-2층 105~107,201호",월~토 10:00 ~ 22:00,"월,화,수,목,금,토",10:00 ~ 22:00,,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FD6ACDA0CA6594D00B9A0072701DED49D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F93aba31f12fa49550083aba4087e853f38a6f92b%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdcf51dce5ded9fc2bd194e0f250af5c3bc2eb0f6%3Foriginal",주차,유의사항 정보 없음,False
02-03,리스카페,브런치카페,4.5,776,경기 성남시 분당구 판교역로2번길 29 1층,매일 15:00 ~ 17:00,"월,화,수,목,금,토,일",15:00 ~ 17:00,1066546300.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEE621F519C864230820EB1931F2CD86C, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F70d421a49c40da41961ff5ec6be8f2520377cc4c%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd8e9987a466a0e1f5b363f94142792e25f2cff62%3Foriginal",편의시설 정보 없음,유의사항 정보 없음,False
02-04,아임홈 분당백현동본점,브런치카페,3.6,27,경기 성남시 분당구 판교역로10번길 3-1 1층,수요일,수요일,,7044180415.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F75E1B0A419BC4F55977024C01167C42D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Febe9c7d256e5bf49d7a01f1ae59b4c5b8915a19b%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe845c98c4d031fba17fbf60715f7933302df0354%3Foriginal",주차,유의사항 정보 없음,False
02-05,무궁화파이브,브런치카페,4.1,795,경기 성남시 분당구 동판교로52번길 9-9 1층,매일 09:00 ~ 17:00,"월,화,수,목,금,토,일",09:00 ~ 17:00,317053367.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FCDE0BA1DE622438AA3227206CCACFB63, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FE5EE0802AE294673B0B13173E2AC722C, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F34ED828393834C8FB625B0DE54F86FB3","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달가능, 포장가능",False
02-06,잼앤브레드,브런치카페,4.5,110,경기 성남시 분당구 판교공원로1길 14 1층,화~토 08:00 ~ 15:00,"화,수,목,금,토",08:00 ~ 15:00,317076113.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FC2291576303E452F8CAFC7E11E1AA870, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd8c2a8bc2a8f23d6d8bed25df31a01468cf95d4a%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Feaf753faa4dfa296ec6ae8196fdd1b51644e5729%3Foriginal",주차,"예약불가, 포장가능",False
02-07,아르틴,브런치카페,3.4,167,경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 1층 107호,화~일 10:00 ~ 22:00,"화,수,목,금,토,일",10:00 ~ 22:00,1089962243.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBEA4E593384648CDA1EB6DDED06B083C, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F9DD03FE814C8460489AE512FEFF6DCE6, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F723FC5848BBB473586BBD24F1CD7A3EE",주차,유의사항 정보 없음,False
02-08,카페마마스 판교점,브런치카페,,147,경기 성남시 분당구 분당내곡로 117 그레이츠 판교 1층,월~금 08:00 ~ 21:30,"월,화,수,목,금",08:00 ~ 21:30,316227545.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F763537BF424D4EF1872147B9DE9A7397, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMDVfMjEx%2FMDAxNzMzMzY3NDU4NDcx.xo4J5DviRFGRP17noqJ9L_TNkgKmVytQfRpbk7AhlZMg.Wrd9iy7R2re4UIGVvSQSK_Y4aZ_ISDYRGCfABmiY7L0g.JPEG%2FSE-41ed6335-4832-41d7-acdf-bd9c1e8274f8.jpg%3Ftype%3Dw773, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDExMTRfNjEg%2FMDAxNzMxNTk2MzE3MDgz.dUIycvQpQ0LsiZWPq6nhXbcVCQxl1QyT6TXBmo8nC2Ug.VEyrUYRrt-8nfD0agmufk9HXFc37uU3GVm1XE3r4yrsg.JPEG%2FIMG_1688.jpg%3Ftype%3Dw773",편의시설 정보 없음,유의사항 정보 없음,False
02-09,카페 악토버,브런치카페,4.6,139,경기 성남시 분당구 동판교로52번길 9 1층,"월,화,수,금,토,일 11:00 ~ 17:00","월,화,수,금,토,일",11:00 ~ 17:00,,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F985C525A95CA41E1AE5E8A46548C41B5, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F82944005324423ba0df5c61de6b6881d8de53d2f%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F90a84ad95b346e00dff900c8f2734231cfcc38a4%3Foriginal","동물출입
주차","예약불가, 포장가능",False
02-10,비앙또아,브런치카페,3.4,287,경기 성남시 분당구 동판교로177번길 25 판교아브뉴프랑 1층 127호,매일 10:00 ~ 21:00,"월,화,수,목,금,토,일",10:00 ~ 21:00,317071088.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6ED984367D5E455BA6C896E701EC563B, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F877B3471DF7843D6AA8F38B4B3C2BA9E, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9cdb08ae5de5fdc31473f64c88f8a7f257bcee87%3Foriginal","WIFI
주차","예약가능, 배달가능, 포장가능",False
