restaurant_id,menu_id,menu_name,price,is_deleted,is_active
08-01,1,스파이니 랍스터 & 스테이크,160000,False,True
08-01,2,프렌치 어니언 스프,19000,False,True
08-01,3,클래식 콥 샐러드,26000,False,True
08-01,4,한우 뉴욕 스트립 (200g),77000,False,True
08-01,5,한우 안심 (200g),81000,False,True
08-01,6,프라임 립아이 (200g),65000,False,True
08-01,7,한우 티본 스테이크 (750g),240000,False,True
08-01,8,모둠 그릴 씨푸드,180000,False,True
08-02,9,쉬림프 칵테일 (6p),18000,False,True
08-02,10,로메인 시저 샐러드 (S),22000,False,True
08-02,11,제로 투 나인 콥 샐러드 (S),25000,False,True
08-02,12,후레쉬 연어 타르타르 샐러드 (S),26000,False,True
08-02,13,가리비 관자와 후추 크림소스 (6p),38000,False,True
08-02,14,허브 버터로 맛을 낸 부드러운 문어,35000,False,True
08-02,15,이태리식 홍합 스튜,32000,False,True
08-02,16,크림차우더,12000,False,True
08-02,17,비프 콘소메,15000,False,True
08-02,18,양송이 크림 스프,12000,False,True
08-02,19,"새우,관자 파스타/리조또 (로제,크림,오일)",32000,False,True
08-02,20,스파게티 봉골레,29000,False,True
08-02,21,부드러운 문어 파스타/리조또,35000,False,True
08-02,22,앵거스 안심 스테이크 (200g),80000,False,True
08-02,23,앵거스 꽃등심 스테이크 (400g),148000,False,True
08-02,24,앵거스 채끝 스테이크 (400g),132000,False,True
08-03,25,(평일) Lunch Course,60000,False,True
08-03,26,Porterhouse (100g),44000,False,True
08-03,27,New YorkStrip (100g),43000,False,True
08-03,28,Filet Mignon (100g),47000,False,True
08-03,29,Caesar Salad,22000,False,True
08-03,30,Fresh Burrata Salad,21000,False,True
08-03,31,House Bacon,18000,False,True
08-03,32,Seafood Platter,0,False,True
08-04,33,본인립아이(567g),89900,False,True
08-04,34,클래식햄버거,15900,False,True
08-04,35,아메리칸치즈버거,16900,False,True
08-04,36,베이컨치즈버거,17900,False,True
08-04,37,포터하우스(23oz),139900,False,True
08-05,38,"치즈 미트 파스타(기본, 치킨, 함박)",7900,False,True
08-05,39,"치킨 스테이크(바베큐, 칠리)",9900,False,True
08-05,40,더블함박 스테이크,12500,False,True
08-05,41,"비프 스테이크(레귤러, 미디엄, 라지)",13500,False,True
08-05,42,"레인보우 스테이크(비프, 치킨, 함박)",16500,False,True
08-05,43,"치즈 스테이크(비프, 치킨, 함박)",18000,False,True
08-05,44,불고기버터밥,7900,False,True
08-05,45,함박덮밥,8900,False,True
08-05,46,헤비모둠덮밥,12900,False,True
08-06,47,로코스 비비큐 샘플러,34900,False,True
08-06,48,비비큐 치킨콤보,15900,False,True
08-06,49,브리스켓&풀드포크,16900,False,True
08-06,50,베이비백립&풀드포크,18900,False,True
08-06,51,베이비백립 콤보,35900,False,True
08-08,52,마레 해산물 라따뚜이,25800,False,True
08-08,53,지중해식 새우와 루꼴라 샐러드,25800,False,True
08-08,54,모듬 버섯구이 안심과 계절 야채 샐러드,26800,False,True
08-08,55,계절과일과 야채 그리고 리코타치즈가 곁들여진 푸짐한 샐러드,22800,False,True
08-08,56,"그릴드 치킨과 모듬버섯, 매콤한 드레싱 샐러드",25800,False,True
08-08,57,시금치 샐러드,23800,False,True
08-09,58,Dry-Aged New York Strip,43000,False,True
08-09,59,Dry-Aged T-Bone,40000,False,True
08-09,60,Dry-Aged Porterhouse,44000,False,True
08-09,61,Seasonal Truffle Risotto,25000,False,True
08-09,62,Dry-Aged Duck with Port Wine Sauce,27000,False,True
08-09,63,Hanwoo Bolognese,24000,False,True
08-09,64,산펠레그리노 탄산수(750ml),9000,False,True
08-09,65,산펠레그리노 레몬,5000,False,True
08-09,66,산펠레그리노 블러드 오렌지,5000,False,True
08-10,67,워커바웃 웰링턴 스테이크,67000,False,True
08-10,68,폭립&미트 파스타,25900,False,True
08-10,69,투움바 파스타,25900,False,True
08-10,70,씨푸드 아라비아따,25900,False,True
08-10,71,레몬 치킨 리조또,25900,False,True
08-10,72,치킨 텐더 샐러드,20900,False,True
08-10,73,치폴레 치킨 샐러드,22900,False,True
08-10,74,오지 치즈 후라이즈,10900,False,True
08-10,75,골드 코스트 코코넛 슈림프,20900,False,True
08-10,76,기브미 파이브,38900,False,True
08-10,77,갈릭 립아이,49900,False,True
08-10,78,베이비 백 립(600g),49900,False,True
08-10,79,토마호크 스테이크(100g당),26000,False,True
08-10,80,포터하우스 스테이크(100g당),30000,False,True
08-10,81,스파이시 씨푸드 알리오 올리오,25900,False,True
08-10,82,스파이시 투움바 파스타,25900,False,True
08-12,83,청포도 샐러드,20800,False,True
08-12,84,4가지 버섯 피자,21800,False,True
08-12,85,쿠치나 파스타,21800,False,True
08-13,86,규카츠 (180g),19000,False,True
08-13,87,일본식 오므라이스,14000,False,True
08-13,88,스테키 정식,19000,False,True
08-13,89,스테키 덮밥,19000,False,True
08-13,90,야마가타 민치카레,14000,False,True
08-13,91,우삼겹 덮밥,14000,False,True
08-13,92,에비카츠동,13000,False,True
08-13,93,니꾸온우동(계절메뉴),10000,False,True
08-13,94,냉소바(계절메뉴),10000,False,True
08-14,95,그릴드 랍스터&채끝 스테이크,65000,False,True
08-14,96,등심 스테이크(400g),56000,False,True
08-14,97,멜팅 버터 그릴드 랍스터(450g),37500,False,True
08-14,98,스테이크 플래터,113500,False,True
08-14,99,안심 스테이크(150g),30000,False,True
08-14,100,안심&채끝 스테이크,79500,False,True
08-14,101,애플 망고 에이드,6500,False,True
08-14,102,엘본 스테이크(100g 당),14000,False,True
08-14,103,자몽 에이드,6500,False,True
08-14,104,채끝 스테이크(210g),27500,False,True
08-14,105,토마호크 스테이크(100g 당),19000,False,True
08-14,106,포터하우스 스테이크(100g 당),18000,False,True
08-14,107,허브 갈릭 램&채끝 스테이크,78000,False,True
08-14,108,허브 갈릭 랩 스테이크(500g),78000,False,True
08-15,109,통다리 치킨,29000,False,True
08-15,110,포크 스페어 립,29000,False,True
08-15,111,B.B.Q 비프 립,69000,False,True
08-15,112,토마호크,15000,False,True
08-15,113,B.B.Q 플래터,109000,False,True
08-15,114,포크 립 With 프라이즈,45000,False,True
08-15,115,케이준 감자튀김,4500,False,True
08-15,116,맥앤치즈,6900,False,True
08-15,117,칠리 치즈 프라이,11000,False,True
08-15,118,비프 칠리 나쵸,13000,False,True
08-15,119,핫 버팔로 윙 With 감자튀김,19000,False,True
08-16,120,세트메뉴,64000,False,True
08-18,121,PASTA,0,False,True
08-18,122,STEAK,0,False,True
08-18,123,GNOCCHI,0,False,True
08-18,124,RISOTTO,0,False,True
08-18,125,SALAD,0,False,True
08-18,126,WINE PAIRING,0,False,True
08-19,127,시그니처 통단호박콩크림스프(2~3인),23800,False,True
08-19,128,시그니처 매콤새우파스타,24000,False,True
08-19,129,라자냐,19800,False,True
08-19,130,피스타치오 토마토 파스타,23000,False,True
08-19,131,아보카도 샐러드,21000,False,True
08-19,132,치폴레 샐러드,16000,False,True
08-19,133,하이볼,8500,False,True
08-19,134,어텀 펌킨 시나몬 라떼,5500,False,True
08-19,135,키즈 함박 세트,14900,False,True
08-20,136,어글리 세트 (2~3인용),42900,False,True
08-21,137,이베리코 스테이크(150g),11000,False,True
08-21,138,소고기 큐브 스테이크(160g),11000,False,True
08-21,139,차돌 오일 파스타,11000,False,True
08-21,140,치킨 빠에야,16900,False,True
08-21,141,갈릭 큐브 스테이크(340g),29500,False,True
08-22,142,아넬로샐러드,23000,False,True
08-22,143,연어샐러드,20000,False,True
08-22,144,프리마베라 샐러드,18000,False,True
08-22,145,구름빵 샐러드,20000,False,True
08-22,146,한치구이,25000,False,True
08-22,147,램 토마토파스타,21000,False,True
08-23,148,아메리카노,15000,False,True
08-23,149,카푸치노,16000,False,True
08-23,150,카페 라떼,16000,False,True
08-23,151,콜드 브루 라떼 (ICE),16000,False,True
08-23,152,바닐라 라떼,17000,False,True
08-24,153,런치 파스타 세트,15900,False,True
