id,name,category_id,score,review,address,operating_hour,expanded_days,time_range,phone_number,image_urls,convenience,caution,is_deleted
08-01,붓처스컷 아브뉴프랑 판교점,스테이크,3.8,241,경기 성남시 분당구 동판교로177번길 25 2층,월~토 11:30 ~ 22:00,"월,화,수,목,금,토",11:30 ~ 22:00,317077037.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2FC41E703B654DA5B79B0B74A14819C7, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFBD9DB04D8444EDC95A152CF40D8D2B8, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F07CC3E18B59A412D99E45989A2EBEBB8","WIFI
주차
흡연실","예약가능, 배달가능, 포장가능",False
08-02,제로투나인,스테이크,4.1,41,경기 성남시 분당구 운중로146번길 19-3,매일 15:00 ~ 17:30,"월,화,수,목,금,토,일",15:00 ~ 17:30,317026625.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2372A9335745330A12, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe5bd473ca276d02d8b9e91330f68de0795f2ed6d%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1427e65fea61e3c0e16bcdbe262e716eb69343a1%3Foriginal",편의시설 정보 없음,유의사항 정보 없음,False
08-03,데이빗앤룰스 판교점,스테이크,,94,경기 성남시 분당구 판교로319번길 13 지하1층 B101~B103호,매일 15:00 ~ 17:30,"월,화,수,목,금,토,일",15:00 ~ 17:30,316028915.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F19D314CB2A8D4E58B2819638B22D333B, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F99708BF9E6CE42C19244BA66A919C2A2, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F662E1AA129DE45FF9A7CC74DC7C82E52",편의시설 정보 없음,유의사항 정보 없음,False
08-04,텍사스로드하우스 현대백화점판교점,스테이크,3.0,685,경기 성남시 분당구 판교역로146번길 20 지하1층,월~목 10:30 ~ 20:00,"월,화,수,목",10:30 ~ 20:00,3151701046.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F24601735EB134173903B12CA68ED72EF, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4ba9f6e9c11f8fba9d97bad406bfe6eae1be36b5%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ffa607a8abc7318e723825580dd676fb3bdfb6275%3Foriginal",주차,"예약불가, 포장가능",False
08-05,헤비스테이크 판교테크노밸리점,스테이크,3.6,37,경기 성남시 분당구 판교역로 231 에이치스퀘어에스동 1층 107호,매일 11:00 ~ 21:00,"월,화,수,목,금,토,일",11:00 ~ 21:00,317893909.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1271508418, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FE3C69B5249F6469597B9E3AF1111C36C, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8D47AC04DB6A4C72A4832C830FE9B82E",주차,포장가능,False
08-06,로코스 비비큐 현대백화점판교점,스테이크,,44,경기 성남시 분당구 판교역로146번길 20 지하 1층,월~목 10:30 ~ 20:00,"월,화,수,목",10:30 ~ 20:00,3151701013.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FED3100BC35124B31862EB98D29A5454A, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MTFfMTI2%2FMDAxNzIzMzAzMjE2NTYx.seZ6ZHIcNcc7lyCK-OC12e65_z8k9ChL2x_H2iT684og.Ly4VO6OIFC7DZCMOPJ_UBzfPEXnr5nVXzLtkruUYQmkg.JPEG%2FSE-58905871-A66E-4441-824D-723D27B32C76.jpg%3Ftype%3Dw773, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MTFfMzYg%2FMDAxNzIzMzAzMjExNTEz.Zv9xyWbwelkRyBRG_yCSVIjXbrNkHkgrXHLmMBCNIFYg.Vq4MacMp9TonwQgeBNUybcQw_wF9JCSsJUrWcUsFOvYg.JPEG%2FSE-81AB9CFB-94EE-46CA-95D4-74230CDC775B.jpg%3Ftype%3Dw773",편의시설 정보 없음,유의사항 정보 없음,False
08-07,써든스테이크 판교점,스테이크,1.0,0,경기 성남시 분당구 판교역로 240 삼환하이펙스 A동 지하1층 125호,"화,수,목,금,일 11:00 ~ 23:00","화,수,목,금,일",11:00 ~ 23:00,,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1C39204D271B4645BDC996254939B4A1, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1932AF7DC9B3456385CC46490ACE78E7, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBF6DBF7C07C34F389C60EEC98B755137",편의시설 정보 없음,유의사항 정보 없음,False
08-08,뚜에이오,스테이크,4.2,873,경기 성남시 분당구 판교공원로3길 24-2,매일 11:00 ~ 21:20,"월,화,수,목,금,토,일",11:00 ~ 21:20,3180161865.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB82840AE9F744073B9D6094C29710FC6, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe24915e23baf44f44b8b11275f41ebbbf30acbb2%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F150dff4ef35678581f6c0082d4d944e845a19652%3Foriginal","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장가능",False
08-09,더다이닝스위트,스테이크,0.0,0,경기 성남시 분당구 서판교로44번길 17-7 지하1층 B101호,화~금 15:00 ~ 17:30,"화,수,목,금",15:00 ~ 17:30,3180168913.0,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
08-10,아웃백스테이크하우스 판교점,스테이크,1.2,303,경기 성남시 분당구 분당내곡로 131 판교테크원 지하1층,매일 11:00 ~ 21:30,"월,화,수,목,금,토,일",11:00 ~ 21:30,316017401.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF050EB5F1B6C44B9B70960237CFBEE1C, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff592cc9b8e9f5a6c5530dd4b1a64c1a56e912a9e%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F01225be911eefea1522b574b106a8e7970a5acae%3Foriginal","WIFI
동물출입
주차
휠체어사용","예약가능, 배달불가, 포장가능",False
08-11,스즈메그릴,스테이크,0.0,0,경기 성남시 분당구 판교공원로2길 63 1층 101호,,,,,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
