restaurant_id,menu_id,menu_name,price,is_deleted,is_active
11-01,1,런치,19000,False,True
11-01,2,디너,29000,False,True
11-02,3,런치오마카세,25000,False,True
11-02,4,디너오마카세,38000,False,True
11-03,5,스시코스 (Lunch),45000,False,True
11-03,6,오마카세 (Lunch),60000,False,True
11-03,7,오마카세 (Dinner),90000,False,True
11-04,8,사시미,28000,False,True
11-04,9,특사시미,40000,False,True
11-04,10,광어 (1pcs),2500,False,True
11-04,11,광어지느러미 (1pcs),3000,False,True
11-04,12,농어 (1pcs),2500,False,True
11-04,13,런치 오마카세,40000,False,True
11-04,14,런치 사시미정식,28000,False,True
11-04,15,런치 스시정식,20000,False,True
11-04,16,오마카세,60000,False,True
11-04,17,스시오마카세,75000,False,True
11-04,18,모리아와세,85000,False,True
11-05,19,점심정식,40000,False,True
11-07,20,런치오마카세,60000,False,True
11-07,21,디너오마카세,100000,False,True
11-08,22,오마카세,0,False,True
11-09,23,런치 오마카세,60000,False,True
11-09,24,디너 오마카세,120000,False,True
11-10,25,런치 오마카세,70000,False,True
11-10,26,디너 오마카세,150000,False,True
11-11,27,시그니쳐 코스메뉴,10000,False,True
11-11,28,프리미엄 블렌드,5500,False,True
11-11,29,이디오피아 예가체프 G2,6500,False,True
11-11,30,과테말라SHB 안티구아 파노라마,6500,False,True
11-11,31,과테말라 CO2 디카페인,6500,False,True
11-11,32,케냐 AA 라가티 탑,7500,False,True
11-11,33,케냐 AA 키암부 카린가 탑,7500,False,True
11-11,34,브라질 카라멜라도,7500,False,True
11-11,35,브라질 피치피치 N,7500,False,True
11-11,36,엘살바도로 피에몬테 밀레니엄,7500,False,True
11-11,37,니카라과 라 에스파놀라,7500,False,True
11-11,38,이디오피아 구지 모모라 N,7500,False,True
11-11,39,이디오피아 반티넨카 N,7500,False,True
11-11,40,과테말라 엘 소코로 파카마라,7500,False,True
11-11,41,콜롬비아 포토시 트레스 드레곤즈 N,7500,False,True
11-11,42,커피 오마카세,20000,False,True
11-11,43,YMR 아이스,8000,False,True
11-11,44,핫 라떼,6500,False,True
11-11,45,아이스 라떼,6500,False,True
11-11,46,스위트 라떼,6500,False,True
11-11,47,카페 유자라떼,6500,False,True
11-12,48,스시 코스 (Dinner),80000,False,True
11-12,49,사시미 코스 (Dinner),100000,False,True
11-12,50,오마카세 코스 (Dinner),150000,False,True
11-12,51,스시 코스 (Lunch),55000,False,True
11-12,52,오마카세 코스 (Lunch),90000,False,True
11-12,53,콜키지,30000,False,True
11-13,54,스시강초밥 (12p),17000,False,True
11-13,55,참다랑어뱃살초밥 (1pcs),4000,False,True
11-13,56,간장새우초밥 (1pcs),2000,False,True
11-13,57,타코와사비초밥 (1pcs),2000,False,True
11-13,58,계란초밥 (1pcs),1500,False,True
11-14,59,시스오마카세,45000,False,True
11-14,60,사시미오마카세,65000,False,True
11-14,61,런치오마카세,25000,False,True
11-14,62,디너오마카세,45000,False,True
11-14,63,1인사시미,20000,False,True
11-15,64,오마카세 런치,19000,False,True
11-15,65,오마카세 디너,29000,False,True
11-16,66,오마카세 (런치),40000,False,True
11-16,67,오마카세 (디너),80000,False,True
11-17,68,런치오마카세,50000,False,True
11-17,69,디너오마카세,80000,False,True
11-18,70,카이센동,24000,False,True
11-18,71,후토마키 (5P),12000,False,True
11-18,72,연어 후토마키 (5P),13000,False,True
11-18,73,어린이 초밥 (8P),8000,False,True
11-18,74,광어 (10P),22000,False,True
11-18,75,연어 (10P),20000,False,True
11-18,76,아부리 연어 (10P),20000,False,True
11-18,77,광어 (5P)+연어 (5P),21000,False,True
11-18,78,초새우 초밥 (1P),1500,False,True
11-18,79,계란 초밥 (1P),1500,False,True
11-18,80,이까 초밥 (1P),2000,False,True
11-18,81,연어 초밥 (1P),2000,False,True
11-18,82,아부리연어 초밥 (1P),2000,False,True
11-18,83,간장새우 초밥 (1P),2000,False,True
11-18,84,광어 초밥 (1P),2200,False,True
11-18,85,광어 지느러미 초밥 (1P),2500,False,True
11-18,86,연어 뱃살 초밥 (1P),2500,False,True
11-18,87,삼치 초밥 (1P),2500,False,True
11-18,88,안키모 초밥 (1P),2500,False,True
11-18,89,청어 초밥 (1P),2500,False,True
11-18,90,도미 초밥 (1P),2500,False,True
11-19,91,오마카세 코스(모둠숙성회 무한리필),39000,False,True
11-19,92,유비끼 코스(모둠숙성회 무한리필),47000,False,True
11-19,93,갓포 코스(모둠숙성회 무한리필),58000,False,True
11-19,94,쉐프VIP 코스,80000,False,True
11-19,95,모둠회+해살물세트,70000,False,True
11-19,96,모둠회 (대),90000,False,True
11-19,97,모둠회 (중),70000,False,True
11-19,98,참돔,80000,False,True
11-19,99,광어회,70000,False,True
11-20,100,오마카세,38000,False,True
11-21,101,네코 스페셜,0,False,True
11-21,102,어린이초밥,0,False,True
11-21,103,오늘의 초밥,0,False,True
11-21,104,만원의 행복,0,False,True
11-21,105,하프롤,0,False,True
11-21,106,대게딱지동,0,False,True
11-22,107,생선초밥,24000,False,True
11-22,108,특초밥,25000,False,True
11-22,109,보통초밥,21000,False,True
11-22,110,런치초밥,15000,False,True
11-22,111,회덮밥,18000,False,True
11-24,112,런치오마카세,80000,False,True
11-24,113,디너오마카세,150000,False,True
11-25,114,사시미 오마카세(룸),80000,False,True
11-25,115,사시미 코스(룸),120000,False,True
11-25,116,스시 오마카세(런치 룸/카운터),60000,False,True
11-25,117,스시 오마카세(디너 룸/카운터),120000,False,True
11-25,118,사시미 오마카세(룸)(디너),140000,False,True
11-26,119,도미가마솥밥정식,35000,False,True
11-26,120,도미코스(평일 런치),60000,False,True
11-26,121,런치오마카세,100000,False,True
11-26,122,도미코스,65000,False,True
11-26,123,도미특코스,88000,False,True
11-26,124,오마카세,120000,False,True
11-26,125,특오마카세,180000,False,True
11-29,126,광어 한접시 (20ps),38000,False,True
11-29,127,연어 한접시 (18ps),25000,False,True
11-29,128,대게,35000,False,True
11-29,129,낙지 한접시,15000,False,True
11-29,130,회정식,25000,False,True
11-30,131,돈코츠라멘 (M),8000,False,True
11-30,132,탄탄멘 (M),8000,False,True
11-30,133,모듬초밥 (11p),7900,False,True
11-30,134,연어초밥 (11p),8900,False,True
11-30,135,낙지볶음,18000,False,True
11-31,136,초밥우동세트,10000,False,True
11-31,137,초밥냉모밀세트,10000,False,True
11-31,138,스시윤초밥,20000,False,True
11-31,139,연어초밥,18000,False,True
11-31,140,광어초밥,20000,False,True
11-31,141,오도로초밥,30000,False,True
11-31,142,회덮밥,10000,False,True
11-32,143,런치 장어 오마카세,38000,False,True
11-32,144,디너 장어 오마카세,58000,False,True
11-32,145,민물장어구이 500g,43000,False,True
11-33,146,런치,40000,False,True
11-33,147,디너,70000,False,True
