id,name,category_id,score,review,address,operating_hour,expanded_days,time_range,phone_number,image_urls,convenience,caution,is_deleted
11-01,오마카세 오사이초밥 판교점,오마카세,,"1,696",경기 성남시 분당구 판교역로 180 알파타워 1층 106호,매일 15:00 ~ 17:00,"월,화,수,목,금,토,일",15:00 ~ 17:00,50714020542.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBB4E387222A14F2694FF39F9D3B114DF, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2864117C1C3D483EA0F929D9F80B33E5, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F8AEE1BB53C4B4CA2BD490FFD22E6FB60",편의시설 정보 없음,유의사항 정보 없음,False
11-02,오마카세 스시이찌 판교점,오마카세,4.0,25,경기 성남시 분당구 판교역로192번길 22 판교효성 해링턴타워 2층 201호,매일 15:00 ~ 17:00,"월,화,수,목,금,토,일",15:00 ~ 17:00,317788002.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7C0197CD3349406192730035A78FDF1D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEF1D74DD364947A8A10CDAA9058A9846, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2F1084CC6228464C998DC99760E25967","WIFI
동물출입
주차","예약가능, 배달불가, 포장불가",False
11-03,스시쿤 판교,오마카세,,128,경기 성남시 분당구 대왕판교로 660 유스페이스몰 1차 지하1층 115호,매일 15:00 ~ 18:00,"월,화,수,목,금,토,일",15:00 ~ 18:00,316286972.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0F75D52459234FFEB5730B3021D5E1ED, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMDZfMjU5%2FMDAxNjc4MTA0OTAwOTg1.JeSJ1FAemg4-wGkfqdeTIDK1XazGzxev9Yn5-heBLgAg.DU0XLQL5llOsE8vbv1s2ySJNZb0qsTS2VwWYH4C97vcg.JPEG.hleezzang%2FSE-66859AFE-F1D1-4507-BD38-1161AD979173.jpg%3Ftype%3Dw966, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMDZfMTg1%2FMDAxNjc4MDk2MDYwMjc1.Caic-G4miiBSjRWeRn-qDbKan_z6zivhynWzZvbqMocg.mZ4CtgVQDdSdeBesy3fEP2jmFztz5cQK5CIdg0A6MVog.JPEG.hleezzang%2FIMG_7813.JPG%3Ftype%3Dw966","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장가능",False
11-04,스시혼 판교본점,오마카세,3.5,3,"경기 성남시 분당구 동판교로177번길 25 판교호반써밋플레이스 1층 137,138호",매일 11:30 ~ 22:00,"월,화,수,목,금,토,일",11:30 ~ 22:00,,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2220A0445546FC2A1E, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F21399A415546FC470D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F451f9fa3c51308e90a7ac5a84bc1e3b76b860b27%3Foriginal","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장가능",False
11-05,초루,오마카세,,89,경기 성남시 분당구 서판교로44번길 3-19 1층,월~토 14:30 ~ 17:00,"월,화,수,목,금,토",14:30 ~ 17:00,317057676.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7A463BF7104C4C19ADFB9F8024241097, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F5FA8F2D32F7F4E6AB738EC7EDBF72CC6, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F12A8D6821C574F83AD185A44BB2FA623",편의시설 정보 없음,유의사항 정보 없음,False
11-06,스시쇼우민,오마카세,4.5,79,경기 성남시 분당구 운중로125번길 14-10 1층 101호,,,,317818070.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5978D218BB2A4B72A77D285A8B7F41BE, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4b636ba1dc5ab475fa10880c1b33d47027ddcf29%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0bb99a23020a21d49aa9563150a1d0fb12b3a66c%3Foriginal",편의시설 정보 없음,유의사항 정보 없음,False
11-07,스시코호시,오마카세,3.2,125,경기 성남시 분당구 판교역로 230 1층 124호,매일 15:00 ~ 18:30,"월,화,수,목,금,토,일",15:00 ~ 18:30,316984777.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F45A61B60EB5B46E6879FBA347F518A5D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5c3885fd097544a3ec1d9f914fae84e8ec1b26cd%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1ebb2f284e7d53a079b39b61a4b3ad5c58170435%3Foriginal","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장불가",False
11-08,스시다케루,오마카세,,128,경기 성남시 분당구 판교역로10번길 12 1층 102호,화~일 15:00 ~ 17:00,"화,수,목,금,토,일",15:00 ~ 17:00,317017017.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB7D09985464049DC9D92A7A5FD6A448F, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD13F4EFCFBBA43ACB60C0152E851E2AD, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2AC57343D981406F8CB22BC3EBF22F0C",편의시설 정보 없음,예약가능,False
11-09,스시이야시,오마카세,4.4,31,경기 성남시 분당구 판교역로 136 1층 1059호,월~토 16:00 ~ 17:00,"월,화,수,목,금,토",16:00 ~ 17:00,317787017.0,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1C1B75D5506E4FDE8E12274516368F6D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F68388c1dd2e026fcce022ded771a2c5d0c683e18%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ff03ecb322260133977b214c00b8d8b69ef571650%3Foriginal",주차,예약가능,False
11-10,스시히로,오마카세,4.0,27,경기 성남시 분당구 대왕판교로 660 유스페이스1 지하1층 109호,월~토 09:00 ~ 22:00,"월,화,수,목,금,토",09:00 ~ 22:00,,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FEB643CE18C924B2692F82E4EBAAF7B9A, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7963BFBA778649D29054BFCB477DA484, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4192F7FD7B9344D7937CC5AE1202F479","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장불가",False
