restaurant_id,menu_id,menu_name,price,is_deleted,is_active
05-01,1,곰새우찜 & 곰새우라면,40000,False,True
05-01,2,제주딱새우사시미 & 머리튀김,38000,False,True
05-01,3,생연어사시미 & 특제샐러드,24000,False,True
05-01,4,눈꽃살타다끼,25000,False,True
05-01,5,특제메로구이,30000,False,True
05-02,6,모듬 사시미,60000,False,True
05-02,7,문어 숙회,29000,False,True
05-02,8,참치 타다끼,23000,False,True
05-02,9,새우 덴뿌라,22000,False,True
05-02,10,카레 고로케,12000,False,True
05-03,11,닭꼬치 6종모듬,22000,False,True
05-03,12,삼겹살이 5종,22000,False,True
05-03,13,버섯삼겹 5종,22000,False,True
05-03,14,가슴살 5종모듬,22000,False,True
05-03,15,꽈리고추삼겹말이,4000,False,True
05-03,16,팽이삼겹말이,4000,False,True
05-05,17,숙성회모듬,54000,False,True
05-05,18,숙성광어회,35000,False,True
05-05,19,추천꼬치 7종,28000,False,True
05-05,20,민물장어 볏짚구이,30000,False,True
05-05,21,나가사키짬뽕,26000,False,True
05-05,22,스키야끼,32000,False,True
05-05,23,차돌박이 숙주볶음,22000,False,True
05-05,24,와사비크림새우,22000,False,True
05-05,25,명란오일파스타,22000,False,True
05-05,26,새우먹물파스타,24000,False,True
05-05,27,우니크림파스타,32000,False,True
05-05,28,전복내장파스타,30000,False,True
05-05,29,소고기 가라아게,28000,False,True
05-05,30,왕새우튀김,26000,False,True
05-05,31,치킨난반,26000,False,True
05-05,32,치킨가라아게,23000,False,True
05-05,33,문어가라아게,23000,False,True
05-05,34,표고버섯 새우튀김,25000,False,True
05-05,35,모츠나베,32000,False,True
05-05,36,꽃게탕,32000,False,True
05-05,37,스지오뎅탕,25000,False,True
05-07,38,모듬사시미,50000,False,True
05-07,39,수제모듬꼬치7종,25000,False,True
05-07,40,문어가라아게,23000,False,True
05-07,41,특제간장가라아게,21000,False,True
05-07,42,차돌박이생라멘샐러드,20000,False,True
05-08,43,야키토리 3종 오마카세,11300,False,True
05-09,44,차돌야채찜,38000,False,True
05-09,45,문어초회,27000,False,True
05-09,46,메로구이,29000,False,True
05-09,47,명란계란말이,18500,False,True
05-09,48,가리비명란튀김,18000,False,True
05-09,49,삼색조개술찜,24500,False,True
