restaurant_id,menu_id,menu_name,price,is_deleted,is_active
04-01,1,마레 해산물 라따뚜이,25800,False,True
04-01,2,지중해식 새우와 루꼴라 샐러드,25800,False,True
04-01,3,모듬 버섯구이 안심과 계절 야채 샐러드,26800,False,True
04-01,4,계절과일과 야채 그리고 리코타치즈가 곁들여진 푸짐한 샐러드,22800,False,True
04-01,5,"그릴드 치킨과 모듬버섯, 매콤한 드레싱 샐러드",25800,False,True
04-01,6,시금치 샐러드,23800,False,True
04-02,7,라구 라자냐,13000,False,True
04-02,8,써니피자,19000,False,True
04-02,9,라구 파스타,16000,False,True
04-02,10,플라워 마르게리타 피자,16000,False,True
04-02,11,식스 치즈 피자,23000,False,True
04-02,12,화이트크림파스타,18000,False,True
04-02,13,리코타치즈 샐러드,12000,False,True
04-02,14,치킨스튜파스타,22000,False,True
04-02,15,크림&머쉬룸 라자냐,15000,False,True
04-03,16,청포도 샐러드,20800,False,True
04-03,17,4가지 버섯 피자,21800,False,True
04-03,18,쿠치나 파스타,21800,False,True
04-04,19,세트메뉴,64000,False,True
04-07,20,런치 파스타 세트,15900,False,True
04-07,21,런치 스테이크,39000,False,True
04-07,22,파스타 2인 세트,55000,False,True
04-07,23,스테이크 2인 세트,84000,False,True
04-07,24,행복한 4인 세트,129000,False,True
04-07,25,스테이크 4인 세트,159000,False,True
04-08,26,비프 온더 스톤 채끝등심,39900,False,True
04-08,27,로얄 까르보나라 스파게티,19900,False,True
04-08,28,새우 버섯 샐러드,21900,False,True
04-08,29,해산물 토마토 스파게티,21900,False,True
04-08,30,갈비 리조또,24900,False,True
04-08,31,마르게리따 피자,23900,False,True
04-08,32,트러플 프렌치 프라이,10900,False,True
04-08,33,에그 시저 샐러드,18900,False,True
04-08,34,크림 볼로네제 스파게티,19900,False,True
04-08,35,해산물 치오피노 스파게티,23900,False,True
04-08,36,트러플 크림 버섯 리조또,22900,False,True
04-08,37,해산물 토마토 리조또,23900,False,True
04-08,38,에그&베이컨 피자,21900,False,True
04-08,39,트러플 풍기 피자,23900,False,True
04-08,40,비프 온더 스톤 부채살,33900,False,True
04-08,41,비프 온더 스톤 안심,45900,False,True
04-08,42,BBQ 폭립 플래터,43900,False,True
04-08,43,세가지 베리와 바닐라 아이스크림,7000,False,True
04-09,44,콰트로포르마지피자,25800,False,True
04-09,45,1001셀러드,22800,False,True
