id,name,category_id,score,review,address,operating_hour,phone_number,image_urls,convenience,caution,is_deleted
01-01,삿뽀로 판교점,일식집,3.5,93,경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 2033호,매일 11:30 ~ 21:30,03180165990,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FE606CFA1CB824BA4AE71DA0153F55E98, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb17fceb3fd0bfe9e39f63ef1be8aa86858ae5b61%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F484da537b8d8c42b64db7c4562f49312409299f7%3Foriginal",주차,"예약가능, 배달불가, 포장가능",False
01-02,긴자 판교점,일식집,3.3,105,경기 성남시 분당구 판교로 185 신화푸드빌리지 3층 301호,매일 11:30 ~ 22:00,0317029317,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F236B2B4F55763D8E42, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9abf41100b3f195e8ca1c5570ba9e4b964de91ac%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ffa8842f45688b5a5e812afedd1cb9b98a614dd13%3Foriginal",주차,"예약가능, 배달가능, 포장가능",False
01-03,도원참치,일식집,4.2,975,경기 성남시 분당구 판교역로192번길 14-2,월~토 11:00 ~ 23:00,03180164588,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F018BEFE5225D49F296596D5866EBF734, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F740C41374D50487C9C4BB51919F26454, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA5EEDA1294AD49ADBD9857B05F4563F8","WIFI
동물출입
주차
휠체어사용","예약가능, 배달가능, 포장가능",False
01-04,다이호시,일식집,3.8,"1,349",경기 성남시 분당구 판교역로10번길 6 1층,매일 15:00 ~ 17:30,0317058322,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA3532FA38DD7485F8E952DB6C8D1F521, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F5FC43EF6CB1949D88ADA25B314418035, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F8877FE4598C24C459ED55A340EEDC34D","WIFI
동물출입
주차
휠체어사용","예약가능, 배달불가, 포장가능",False
01-05,후라토식당 아브뉴프랑판교,일식집,3.7,525,경기 성남시 분당구 동판교로177번길 25 2층 220호,매일 15:00 ~ 17:00,0316077090,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_294781750, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0497301F15384E5AACD535C63C71B08D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F2608D192D7F443CF8A01526A296D6BEA",주차,예약가능,False
01-06,아나바,일식집,4.2,131,경기 성남시 분당구 대왕판교로606번길 58,매일 14:20 ~ 17:00,0316266002,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1947D433B11D472182719FE3028B2A3E, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F12A8A68448964DFD9302102308BBD7B3, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9c1b66c606f45bda0ac539e9f5d1be9f4264fc008502195f5c3ab2d1011ce0ab",주차,예약가능,False
01-07,판교매일식당 판교본점,일식집,3.5,81,경기 성남시 분당구 판교역로192번길 14-2 1층,매일 15:00 ~ 17:00,,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBAC97A276A3340FD9246B7AC6A8B7860, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4c7b3641a6660d71941c5fb24a1247b61719760e%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F97d830f498f5f106efb8bb7f40eeaf19812168fe%3Foriginal",주차,예약불가,False
01-08,스시쿤 판교,일식집,,128,경기 성남시 분당구 대왕판교로 660 유스페이스몰 1차 지하1층 115호,매일 15:00 ~ 18:00,0316286972,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0F75D52459234FFEB5730B3021D5E1ED, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMDZfMjU5%2FMDAxNjc4MTA0OTAwOTg1.JeSJ1FAemg4-wGkfqdeTIDK1XazGzxev9Yn5-heBLgAg.DU0XLQL5llOsE8vbv1s2ySJNZb0qsTS2VwWYH4C97vcg.JPEG.hleezzang%2FSE-66859AFE-F1D1-4507-BD38-1161AD979173.jpg%3Ftype%3Dw966, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzAzMDZfMTg1%2FMDAxNjc4MDk2MDYwMjc1.Caic-G4miiBSjRWeRn-qDbKan_z6zivhynWzZvbqMocg.mZ4CtgVQDdSdeBesy3fEP2jmFztz5cQK5CIdg0A6MVog.JPEG.hleezzang%2FIMG_7813.JPG%3Ftype%3Dw966","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장가능",False
01-09,스시가좋아서,일식집,4.7,33,경기 성남시 분당구 판교로 372 스타식스코아 2층 202호,화~일 15:00 ~ 17:00,0317814920,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FFBDE778B4FC64F16AFEB7A9EEABD5D98, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F856202271C024BF6B374DFC273C87217, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F0cf78c1b5e5b880c9463b8ad4a34079286666245%3Foriginal",주차,포장가능,False
01-10,스시혼 판교본점,일식집,3.5,3,"경기 성남시 분당구 동판교로177번길 25 판교호반써밋플레이스 1층 137,138호",매일 11:30 ~ 22:00,,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2220A0445546FC2A1E, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F21399A415546FC470D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F451f9fa3c51308e90a7ac5a84bc1e3b76b860b27%3Foriginal","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장가능",False
