id,name,category_id,score,review,address,operating_hour,phone_number,image_urls,convenience,caution,is_deleted
03-01,뚜에이오,파스타,4.2,873,경기 성남시 분당구 판교공원로3길 24-2,매일 15:00 ~ 17:00,03180161865,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB82840AE9F744073B9D6094C29710FC6, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe24915e23baf44f44b8b11275f41ebbbf30acbb2%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F150dff4ef35678581f6c0082d4d944e845a19652%3Foriginal","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장가능",False
03-02,파파라구,파스타,3.7,521,"경기 성남시 분당구 판교역로10번길 22-3 1층 101,102호","월,수,목,금 15:00 ~ 17:00",0317095624,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F8973E9C7A0CE41B08710975BA50ABCF1, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_476580354, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBC425AD040DC4600B6C64D731889D516","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장불가",False
03-03,라비떼,파스타,3.9,274,경기 성남시 분당구 판교공원로3길 16 1층,"월,수,목,금,토,일 15:00 ~ 17:30",,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1def0ea4858280591039c8bb29fce9d0f315529a%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F446554de6c23735d5e0387be33b370aa7c18adaf%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fd745934381b680d25efff2133a3ef256e21ee7dc%3Foriginal","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달가능, 포장가능",False
03-04,빈티지1988,파스타,3.1,442,경기 성남시 분당구 판교역로 231 H스퀘어 S동 1층 101호,월~금 14:30 ~ 17:30,050713871993,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F126FF7464FFA64F81D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2021A2434FFA653F2C, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F0EF2F3FE94A34CB38838C2F1EAD50271",주차,예약가능,False
03-05,세렌,파스타,3.8,300,경기 성남시 분당구 운중로188번길 11 1층,매일 15:00 ~ 17:30,0317090775,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
03-06,푸치니,파스타,4.2,52,경기 성남시 분당구 판교로25번길 6-3 1층,화~토 15:00 ~ 17:30,0317013398,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
03-07,오스테리아 워모잡,파스타,3.4,250,경기 성남시 분당구 판교공원로2길 40-1 1층,매일 15:00 ~ 17:30,01030059541,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1876655045, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FB7DA27DC93A54FCFB5D8279AF222FED1, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4514A6591B97421DA0E1C0826AAC89EB",편의시설 정보 없음,유의사항 정보 없음,False
03-08,라그릴리아 판교점,파스타,4.2,112,경기 성남시 분당구 판교역로 166 카카오 판교 아지트 1층 17호,매일 11:30 ~ 21:00,0317070999,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1F79BCF05170474896655B1794C0CEC9, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe8ff1fbe71bfe749a2aacc85cb99bb90a03ff10f%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fdc1f7c8802c81ba74e7fe99125b3215a391914df%3Foriginal","WIFI
동물출입
주차
휠체어사용","예약가능, 배달불가, 포장가능",False
03-09,라스토리아1001,파스타,,266,경기 성남시 분당구 판교공원로3길 24 1층,수~금 15:00 ~ 17:00,050255516969,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F39CE7677E1224AB29BF7CABEBCC30EDB, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTRfNjEg%2FMDAxNzM0MTc1ODQ3Mzgz.gqAcdiiv1-4iRAdJPhUHXoDvLd2aR0MV4Mp-nCw7Of8g.uIpuMzCYiSmapuZHx8c3B0vXJ2a-i5tMDH6h9BT4_Pkg.JPEG%2FKakaoTalk_20241214_202300299_15.jpg%3Ftype%3Dw966, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEyMTRfMjgz%2FMDAxNzM0MTc2MDE4NTI5.QoCGDS1BbdKIUfOhRHfRBT-dcVHLbMMRp4xjhmOm_4sg.kQe82WRIj3nKVNumCT8SETXGcdZotw96cdMwt12p5Fog.JPEG%2FIMG_7751.JPG%3Ftype%3Dw966","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장가능",False
03-10,이탈리 판교점,파스타,3.2,231,경기 성남시 분당구 판교역로146번길 20 현대백화점 지하1층,월~목 10:30 ~ 20:00,03151701061,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F69575383D004495694C62007A51D4955, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F227f30d1c47269b0079b4a62155d537ef7b1fa77%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5572427af547f6e729f170634f4ff19c70dde076%3Foriginal",주차,유의사항 정보 없음,False
