id,name,category_id,score,review,address,operating_hour,phone_number,image_urls,convenience,caution,is_deleted
06-01,능라도 본점,한식집,3.0,350,경기 성남시 분당구 산운로32번길 12 1-3층,매일 11:00 ~ 20:30,0317813989,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2065034F4EC4B8F636, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F10C4E48CB053413C9CFC86F63306AB04, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD5E5108F1E204A2995770E10534D2B90","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약불가, 배달불가, 포장가능",False
06-02,우설화 판교점,한식집,3.7,159,경기 성남시 분당구 판교로 185 신화푸드빌리지 3층,매일 11:30 ~ 22:00,0317029407,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F383E105945974473A42C0027ACE08D1B, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA338503BE29E45A3AA71D8AA0BA9F9B2, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F69086422965D4C6E8551D813AA38EA22",주차,"예약가능, 배달불가, 포장가능",False
06-03,방아깐,한식집,3.9,342,경기 성남시 분당구 판교공원로1길 55,월~토 15:00 ~ 24:00,03180179107,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Flocal%2Freview_placeapp%2FbtquHsfI7XL_6lakiQNgpUXvGWEPjaUCY1_img.jpg, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA0MDNfODcg%2FMDAxNzEyMTAxMzg5OTUx.blQwq8rk0eGZXdPRTIbwimD34d7j-huX1YEsfIPE5Ykg.pqm0kLeoowrkdWtn10qOjie9kYtGukBosO3mPmvg2xEg.JPEG%2Foutput_361469948.jpg%3Ftype%3Dw773, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA0MDNfNjYg%2FMDAxNjQ4OTU2MjY5MDQ5.dV4LWXF-8lXmEI-tGMHMty4MZnRp-tXejgES5qHD9a4g.jbLAm57Dcwf8uf97HSlot3qOU5Ainj7dNapB6mLVrU4g.JPEG.kimyr_91%2FIMG_9071.jpg%3Ftype%3Dw773",편의시설 정보 없음,유의사항 정보 없음,False
06-04,크래버 대게나라 판교점,한식집,4.1,156,경기 성남시 분당구 판교역로 178 서건빌딩 13층,매일 11:30 ~ 22:00,03180165593,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FAB1E566039494E3AB8E8C45F383F93BA, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2F1AD111274F8D4DD0884B413CE3A76737, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2FA2EBF578F771415EBCC79F1332BAF00B",주차,"예약가능, 포장가능",False
06-05,서울멸치쌈밥,한식집,4.1,77,경기 성남시 분당구 판교역로10번길 10-3 1층,화~일 11:00 ~ 20:30 · 휴게시간 화~일 14:30 ~ 16:30,03180173999,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F93391CB83F094D16AD0BB60FDDD8A967, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBFD0BB5C53064AD39C15DF1FD43F48A4, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FBB53E446E6E7423CAB16F4BD19A0411E","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약불가, 배달가능, 포장가능",False
06-06,람바다,한식집,3.4,88,경기 성남시 분당구 판교역로 184,매일 11:00 ~ 23:00,0317013094,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD41EB48DC7574EFA8A2E416E6820D858, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F00886f8ce9fac83fabf08280aa0ad70616242628%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F052c6f3dd91bbcea1fbeefbd2b2ab42c77760657%3Foriginal","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달가능, 포장가능",False
06-07,해우리 판교점,한식집,3.2,45,경기 성남시 분당구 판교역로 145 알파리움타워 지하1층,월~금 14:30 ~ 17:00,0317014997,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F54ED855AFE4A4D40B7F6E41CC14846D5, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA949365137444997BB4895DF076376C2, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F996241e3c23bbf0bb53e17285df19226c0604133%3Foriginal","WIFI
주차","예약가능, 배달불가, 포장가능",False
06-08,신도세기 판교역점,한식집,3.9,143,경기 성남시 분당구 판교역로 152 알파돔타워 2층 207호,월~토 14:30 ~ 17:00,0316227188,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FC593658B84A742B6B73AE8200846EF5A, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD7FB33C8795646F281F1F65624C61ED7, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F57572BE51B22413F80EFAE8FB2FDAB14","WIFI
동물출입
주차
휠체어사용","예약가능, 배달불가, 포장불가",False
06-09,양우정 판교점,한식집,4.6,35,경기 성남시 분당구 대왕판교로606번길 10 상가동 라스트리트 1동 1층 112~114호,매일 15:00 ~ 17:00,0317069252,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4B9AEE306E1849999B2990E0C3A280C2, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F943016428C4B4DC1A01BE6F93583E4DA, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F976B9189025042F3B7BC43B68C563D16",주차,예약가능,False
06-10,천지연 판교점,한식집,3.0,52,경기 성남시 분당구 판교로 185 신화푸드빌리지 1층,매일 11:30 ~ 22:00,0317029506,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F24256B4331F54E33A75621084D4A091E, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F48d733ae8b8c69432af8f36e15d5de273863a531%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F76c3c1bc50e05f82c2bbc77d0a8b26f82709e541%3Foriginal",주차,유의사항 정보 없음,False
06-11,진1926 판교점,한식집,4.1,25,경기 성남시 분당구 판교역로192번길 22 효성 해링턴 타워 1층 101호,영업시간 월~토 17:00 ~ 23:00,0317070292,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FF168C40DE36641EB858429EC14D1AF11, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe837ba37b7f18fbad5cc27b8086eac3929ae8667%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F013e161ed5ddc9305b2ffa35c55730a0f1433727%3Foriginal",주차,유의사항 정보 없음,False
06-12,숙성도 판교점,한식집,3.7,398,경기 성남시 분당구 판교역로 136 힐스테이트판교역판매시설 1층 1042~1047호,매일 11:30 ~ 22:30 · 휴게시간 매일 15:30 ~ 16:30,03180239233,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F4D0AAA62617C44A6865D5DA6112E38EC, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FFAA883636E294518A07AC8DBE70C07A3, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2E4DD2E948B841118ECD01AE68223B92",주차,"예약가능, 배달불가, 포장불가",False
06-13,방유당 그레이츠판교점,한식집,,170,경기 성남시 분당구 분당내곡로 117 그레이츠 판교 지하 1층 108호,매일 11:00 ~ 22:00,0317060690,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FD5AB9D7DE00245A3BD9742F369A5ED35, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F12B73F84DC794E5A96CDDCE9D4641FAC, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F2DC5466C508D4285A069F8487E474437","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장불가",False
06-14,경복궁 판교점,한식집,2.7,96,"경기 성남시 분당구 대왕판교로606번길 58 판교푸르지오월드마크 2층 2-11~16,41호",월~금 15:00 ~ 17:00,03180168038,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA7E8B87E302B4A78A7ABAA2418053B89, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F2B5903FBF19E48CFA4AECFD991A08A08, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F44A71FB355F44FA3BA66DEF97BD5BD43",주차,"예약가능, 포장가능",False
06-15,사위식당 판교점,한식집,3.4,999,경기 성남시 분당구 판교역로 152 알파돔타워 2층 4호,월~금 14:30 ~ 17:30,0316227180,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F014B01E7AD6C4C9587237200F30C1A18, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F63EF94FBC39F41EBA9BEC82C3384DDC7, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB28758690F7848AE8C0FA6E2A3322A0D","WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달가능, 포장가능",False
06-16,참다운정육식당 판교본점,한식집,4.2,"1,079",경기 성남시 분당구 판교로 182-7 지하1층 B01호,매일 11:00 ~ 22:00,03180168880,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5A92F88910704F96BCE92787D0896316, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F51EE23356DC84B21821748BF46BA856B, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F26CB1BCE2EDB47A8BFBFFA3388A6A560",주차,"예약가능, 배달불가, 포장가능",False
06-17,화포식당 판교점,한식집,4.1,423,경기 성남시 분당구 대왕판교로 660 유스페이스1 2층 240호,월~금 15:00 ~ 17:00,0317242929,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FA28F37DB411142CE9846E5FE1FD34B69, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F489A4D49880442C1A2FA99300EDC6D30, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FC92383607391477C9246D83D4870CE0F","WIFI
동물출입
주차","예약가능, 배달불가, 포장불가",False
