id,name,category_id,score,review,address,operating_hour,phone_number,image_urls,convenience,caution,is_deleted
05-01,사쿠라테이엔 판교직영점,이자카야,2.6,1,경기 성남시 분당구 대왕판교로606번길 45 1층 105호,영업시간 매일 17:30 ~ 02:00,0317043005,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F4A68D7834A01442AA4CDEAC699870DEB, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F956a167ef90b79050467abd3bb879bd3717ec944%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fea502831f12284c48df5b5e81183fe7439de2209%3Foriginal",편의시설 정보 없음,유의사항 정보 없음,False
05-02,청담이상 판교점,이자카야,3.2,22,경기 성남시 분당구 판교역로192번길 12 판교미래에셋센터 2층 203호,월~토 17:00 ~ 01:00,03180610708,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2540484C536B861E04, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F24708050536B862034, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc4a297766af01e63903917a5d5b60e5a51229de1%3Foriginal",주차,예약가능,False
05-03,유다 판교점,이자카야,3.0,16,경기 성남시 분당구 산운로160번길 20-4 1층,화~일 17:00 ~ 03:00,03180161370,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FB4B515EBAB5D40CF8FE50071FFFBCD65, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA37C01A4517840C39FB7A294AE023916, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1c73e44c61737712709ef7e0ca7ad8b7b68d0e30%3Foriginal",주차,예약가능,False
05-04,단,이자카야,4.2,35,경기 성남시 분당구 대왕판교로 660 유스페이스1 B동 160호,월~금 11:30 ~ 24:00,0316281431,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
05-05,야키토리잔잔 판교점,이자카야,4.4,44,경기 성남시 분당구 분당내곡로 151 1층 107~109호,월~목 17:00 ~ 01:00,,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F962C186B9EE644D89893570CBAD4DB74, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7b9af08e7e67dcebbeb4bfda686e914d9f23bd2c%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ffc92373613062fb445f6cfc8a1f5a707f66da15e%3Foriginal",편의시설 정보 없음,유의사항 정보 없음,False
05-06,청담이상 서판교점,이자카야,3.7,7,경기 성남시 분당구 판교로25번길 22 1층,월~토 17:00 ~ 03:00,03180178878,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F2377DB3E576786B10A, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MDdfMTcy%2FMDAxNjU5ODQ0MDE0NTg5.tL_WLtS6ts-58bpPwrPb3y6hivzCPLgfxJYAqhyp78kg.fdv5oyK_3Rqpz6V31ofQlnbWVxhjWWRBK6IFAYJbikAg.JPEG.dshining85%2F20220806%25EF%25BC%25BF224701.jpg%3Ftype%3Dw966, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA4MDdfMjgx%2FMDAxNjU5ODQ0MDE0NTk4.MDVQomi43MCHt6vMk9wOmA4AOD11tze-neHmDkOI1Rgg.iibKh8AsDngheIJuWwxQNFDfb-rj-fOrQY-zqEiwcNgg.JPEG.dshining85%2F20220806%25EF%25BC%25BF213040.jpg%3Ftype%3Dw966",주차,유의사항 정보 없음,False
05-07,사쿠라테이엔 판교본점,이자카야,3.6,439,경기 성남시 분당구 판교역로192번길 16 판교타워 1층 109호,매일 17:00 ~ 01:00,,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FD57F0BAB85814EA781DDE83E7B432A60, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ffe9ae154940a62c30559d5b8209f999ca3936cc9%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1A269D9D3CEC4F238D4B6EAFAB2766AC",편의시설 정보 없음,유의사항 정보 없음,False
05-08,야키토리 화련,이자카야,4.7,83,경기 성남시 분당구 판교역로192번길 22 판교효성해링턴타워 1층 106호,영업시간 월~토 18:00 ~ 24:00,01086103302,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F9C16656924EA48089FDEFE4A3339E2CA, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F64af2efbae067a7c52866993e5b7415c2c1ef6c2%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbfbd1400c520b8f6073b63afa1167916585022d8%3Foriginal",편의시설 정보 없음,유의사항 정보 없음,False
05-09,시치,이자카야,,142,"경기 성남시 분당구 대왕판교로606번길 31 호반메트로큐브 1층 129,130호",월~금 11:30 ~ 23:30 · 휴게시간 월~금 14:30 ~ 16:30,03180169901,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1252728A0E2145D8BF5903ED57BD5026, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F75BA233AE8754B988A1155857C1E451C, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FED3997F4887F439389B895DDC311294C","WIFI
주차
휠체어사용","예약가능, 배달불가, 포장불가",False
05-10,일류,이자카야,1.1,564,경기 성남시 분당구 대왕판교로 670 유스페이스2 A동 2층 210호,월~금 10:00 ~ 02:00 · 휴게시간 월~금 14:00 ~ 17:00,,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
05-11,모로미쿠시 판교점,이자카야,3.3,27,경기 성남시 분당구 판교역로192번길 14-2 1층,매일 16:00 ~ 01:30,03180169835,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F22705A50574E62162D, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F989e6147c1f2079aea81c450160fb8f06b838ba6%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F55e12ef7db4431ffe463b7007e6fe6fcb4de61f7%3Foriginal",편의시설 정보 없음,유의사항 정보 없음,False
05-12,마츠카게,이자카야,5.0,21,경기 성남시 분당구 판교역로 136 힐스테이트판교역 블루존 1층 1001호,영업시간 월~토 17:30 ~ 01:00,050255505124,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F2fcf264638adfe08288154ba53dc8c9dada6cc9d%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa79cbf6ef7e6467479173345c4f5883b9d8bb576%3Foriginal, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F239769c788a2f640b89aa3f541901c4d53256b6a%3Foriginal",편의시설 정보 없음,유의사항 정보 없음,False
05-13,미술,이자카야,5.0,58,경기 성남시 분당구 판교역로192번길 22 효성해링턴타워 3층 313호,월~금 17:00 ~ 24:00,01039820423,"//img1.kakaocdn.net/cthumb/local/C640x640.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F536AA1C0B29A4456A74F649D4FDFFF0B, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1908888947, //img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocalfiy%2Fsearchregister_1920416530","동물출입
휠체어사용",유의사항 정보 없음,False
05-14,생마차 판교역점,이자카야,1.0,0,경기 성남시 분당구 판교역로192번길 22 판교효성해링턴타워 112~114호,,0317088885,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
05-15,마루니,이자카야,1.0,0,경기 성남시 분당구 판교역로192번길 16 판교타워 1층 109호,,,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
05-16,토리키치 판교점,이자카야,5.0,2,경기 성남시 분당구 대왕판교로 660 2층 213호,매일 17:00 ~ 01:00,07077732130,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
05-17,이꾸 판교점,이자카야,0.0,0,경기 성남시 분당구 판교역로 231 H스퀘어 S동 2층,,0317893633,이미지 정보 없음,편의시설 정보 없음,유의사항 정보 없음,False
05-18,쿠시노아 서판교점,이자카야,0.0,0,경기 성남시 분당구 판교공원로2길 62 101호,영업시간 월~토 17:30 ~ 24:00,07040708899,이미지 정보 없음,"WIFI
동물출입
주차
휠체어사용
놀이방
흡연실","예약가능, 배달불가, 포장불가",False
